stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,pheromone_enabled,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_tiny,1,3764,35,1,100,100,2,0,False,2.4196279048919678,1.0,1.0,0.0,0.44,0.0,0,120,103,-1,-1,0.0
stage1a_single_agent_tiny,1,3884,36,1,100,100,2,0,False,-16.24001121520996,0.0,0.0,0.0,0.2,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4004,37,1,100,100,2,0,False,-12.744686126708984,1.0,1.0,0.0,0.28,0.0,0,120,12,-1,-1,0.0
stage1a_single_agent_tiny,1,4124,38,1,100,100,2,0,False,-0.24057582020759583,1.0,1.0,0.0,0.36,0.0,0,120,16,-1,-1,0.0
stage1a_single_agent_tiny,1,4244,39,1,100,100,2,0,False,-18.353595733642578,1.0,1.0,0.0,0.44,0.0,0,120,80,-1,-1,0.0
stage1a_single_agent_tiny,1,4356,40,1,100,100,2,0,False,20.844646453857422,2.0,2.0,1.0,0.48,0.0,0,112,89,89,0,0.008928571428571428
stage1a_single_agent_tiny,1,4476,41,1,100,100,2,0,False,-8.138809204101562,1.0,1.0,0.0,0.4,0.0,0,120,89,-1,-1,0.0
stage1a_single_agent_tiny,1,4596,42,1,100,100,2,0,False,-20.66303062438965,0.0,0.0,0.0,0.36,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4678,43,1,100,100,2,0,False,7.717798233032227,2.0,2.0,0.0,0.28,0.0,0,82,60,-1,-1,0.0
stage1a_single_agent_tiny,1,4714,44,1,100,100,2,0,False,14.236122131347656,2.0,2.0,0.0,0.24,0.0,0,36,9,-1,-1,0.0
stage1a_single_agent_tiny,1,4834,45,1,100,100,2,0,False,-29.908016204833984,0.0,0.0,0.0,0.24,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4911,46,1,100,100,2,0,False,7.943861484527588,2.0,2.0,0.0,0.28,0.0,0,77,66,-1,-1,0.0
stage1a_single_agent_tiny,1,5031,47,1,100,100,2,0,False,-6.748781204223633,1.0,1.0,0.0,0.44,0.0,0,120,61,-1,-1,0.0
stage1a_single_agent_tiny,1,5108,48,1,100,100,2,0,False,3.2946696281433105,2.0,2.0,0.0,0.32,0.0,0,77,40,-1,-1,0.0
stage1a_single_agent_tiny,1,5228,49,1,100,100,2,0,False,-11.225431442260742,1.0,1.0,0.0,0.52,0.0,0,120,56,-1,-1,0.0
stage1a_single_agent_tiny,1,5348,50,1,100,100,2,0,False,-12.961772918701172,0.0,0.0,0.0,0.44,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5378,51,1,100,100,2,0,False,14.480151176452637,2.0,2.0,0.0,0.28,0.0,0,30,22,-1,-1,0.0
stage1a_single_agent_tiny,1,5498,52,1,100,100,2,0,False,-13.898996353149414,1.0,1.0,0.0,0.28,0.0,0,120,2,-1,-1,0.0
stage1a_single_agent_tiny,1,5618,53,1,100,100,2,0,False,-17.29064178466797,1.0,1.0,0.0,0.4,0.0,0,120,98,-1,-1,0.0
stage1a_single_agent_tiny,1,5738,54,1,100,100,2,0,False,-17.15427017211914,1.0,1.0,0.0,0.4,0.0,0,120,48,-1,-1,0.0
stage1a_single_agent_tiny,1,5790,55,1,100,100,2,0,False,6.369509696960449,2.0,2.0,0.0,0.32,0.0,0,52,6,-1,-1,0.0
stage1a_single_agent_tiny,1,5910,56,1,100,100,2,0,False,0.6588962078094482,1.0,1.0,0.0,0.32,0.0,0,120,4,-1,-1,0.0
stage1a_single_agent_tiny,1,5953,57,1,100,100,2,0,False,9.675811767578125,2.0,2.0,0.0,0.36,0.0,0,43,31,-1,-1,0.0
stage1a_single_agent_tiny,1,6073,58,1,100,100,2,0,False,-8.078987121582031,1.0,1.0,0.0,0.48,0.0,0,120,39,-1,-1,0.0
stage1a_single_agent_tiny,1,6193,59,1,100,100,2,0,False,-8.211907386779785,1.0,1.0,0.0,0.28,0.0,0,120,17,-1,-1,0.0
stage1a_single_agent_tiny,1,6220,60,1,100,100,2,0,False,12.860819816589355,2.0,2.0,0.0,0.24,0.0,0,27,10,-1,-1,0.0
stage1a_single_agent_tiny,1,6340,61,1,100,100,2,0,False,23.545490264892578,1.0,1.0,1.0,0.4,0.0,0,120,117,117,0,0.008333333333333333
stage1a_single_agent_tiny,1,6373,62,1,100,100,2,0,False,12.675036430358887,2.0,2.0,0.0,0.32,0.0,0,33,30,-1,-1,0.0
stage1a_single_agent_tiny,1,6474,63,1,100,100,2,0,False,6.399019241333008,2.0,2.0,0.0,0.32,0.0,0,101,5,-1,-1,0.0
stage1a_single_agent_tiny,1,6594,64,1,100,100,2,0,False,-12.185481071472168,1.0,1.0,0.0,0.44,0.0,0,120,2,-1,-1,0.0
stage1a_single_agent_tiny,1,6624,65,1,100,100,2,0,False,14.281791687011719,2.0,2.0,0.0,0.16,0.0,0,30,27,-1,-1,0.0
stage1a_single_agent_tiny,1,6669,66,1,100,100,2,0,False,38.19426727294922,2.0,2.0,1.0,0.36,0.0,0,45,20,45,25,0.022222222222222223
