family,condition,episode,seed,policy_kind,checkpoint_dir,n_agents,width,height,n_obstacles,max_steps,pheromone_enabled,mean_episode_reward,food_picked_up,food_delivered,delivery_conversion,exploration_coverage,pheromone_usage,episode_length,time_to_first_discovery,carrying_stall_fraction,carrying_low_progress_fraction,non_carrying_nest_loiter_fraction,non_carrying_nest_crowding_fraction,non_carrying_explore_active_fraction,non_carrying_force_explore_fraction,non_carrying_random_explore_fraction
curriculum_vs_weaker_training,current_curriculum_final,1,100,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-226.4697265625,1,1,1.0,0.23220338983050848,0.005419922851821563,800,250,0.0175,0.0875,0.135,0.005,4.51625,1.1675,5.82
curriculum_vs_weaker_training,current_curriculum_final,2,101,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-219.62677001953125,1,1,1.0,0.2461864406779661,0.00474338945306954,800,262,0.00875,0.05375,0.07125,0.1,4.525,1.18625,5.88
curriculum_vs_weaker_training,current_curriculum_final,3,102,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-570.5289916992188,1,1,1.0,0.22966101694915253,0.006989193682238691,800,209,0.01375,0.05625,1.07625,0.56125,5.225,2.415,5.89125
curriculum_vs_weaker_training,current_curriculum_final,4,103,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-259.4059143066406,3,2,0.6666666666666666,0.23389830508474577,0.021541007844183085,800,544,0.1275,0.24,0.19125,0.2675,3.65375,1.22,5.62375
curriculum_vs_weaker_training,current_curriculum_final,5,104,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-239.46104431152344,3,3,1.0,0.27161016949152544,0.043607012589945954,800,104,0.2475,0.49625,0.565,0.27,3.7725,1.05,5.24375
curriculum_vs_weaker_training,older_weaker_curriculum_final,1,100,mappo_gru,checkpoints/mappo_full_600k_33/stage3b_full_swarm_final,6,1400,950,18,800,True,-114.22979736328125,3,0,0.0,0.12372881355932204,0.10992200736468175,800,50,0.89875,1.5475,0.0,0.0075,1.5825,0.20875,4.1575
curriculum_vs_weaker_training,older_weaker_curriculum_final,2,101,mappo_gru,checkpoints/mappo_full_600k_33/stage3b_full_swarm_final,6,1400,950,18,800,True,-73.61134338378906,2,0,0.0,0.1521186440677966,0.06957805147835945,800,212,0.4925,0.8375,0.0,0.0,0.9825,0.16625,4.96875
curriculum_vs_weaker_training,older_weaker_curriculum_final,3,102,mappo_gru,checkpoints/mappo_full_600k_33/stage3b_full_swarm_final,6,1400,950,18,800,True,-451.0831604003906,2,0,0.0,0.13135593220338984,0.09983782950829966,800,26,0.82625,1.345,1.0,0.1675,3.2075,1.3475,4.37625
curriculum_vs_weaker_training,older_weaker_curriculum_final,4,103,mappo_gru,checkpoints/mappo_full_600k_33/stage3b_full_swarm_final,6,1400,950,18,800,True,-52.00812911987305,1,0,0.0,0.1711864406779661,0.04214545679744333,800,383,0.26625,0.44375,0.0,0.0,0.50125,0.04875,5.47875
curriculum_vs_weaker_training,older_weaker_curriculum_final,5,104,mappo_gru,checkpoints/mappo_full_600k_33/stage3b_full_swarm_final,6,1400,950,18,800,True,-45.658931732177734,1,0,0.0,0.16440677966101694,0.06470144453948402,800,53,0.4625,0.76375,0.0,0.0,0.51375,0.0825,5.06625
pheromone_ablation,trained_with_pheromone_eval_with_pheromone,1,100,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-226.4697265625,1,1,1.0,0.23220338983050848,0.005419922851821563,800,250,0.0175,0.0875,0.135,0.005,4.51625,1.1675,5.82
pheromone_ablation,trained_with_pheromone_eval_with_pheromone,2,101,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-219.62677001953125,1,1,1.0,0.2461864406779661,0.00474338945306954,800,262,0.00875,0.05375,0.07125,0.1,4.525,1.18625,5.88
pheromone_ablation,trained_with_pheromone_eval_with_pheromone,3,102,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-570.5289916992188,1,1,1.0,0.22966101694915253,0.006989193682238691,800,209,0.01375,0.05625,1.07625,0.56125,5.225,2.415,5.89125
pheromone_ablation,trained_with_pheromone_eval_with_pheromone,4,103,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-259.4059143066406,3,2,0.6666666666666666,0.23389830508474577,0.021541007844183085,800,544,0.1275,0.24,0.19125,0.2675,3.65375,1.22,5.62375
pheromone_ablation,trained_with_pheromone_eval_with_pheromone,5,104,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-239.46104431152344,3,3,1.0,0.27161016949152544,0.043607012589945954,800,104,0.2475,0.49625,0.565,0.27,3.7725,1.05,5.24375
pheromone_ablation,trained_with_pheromone_eval_without_pheromone,1,100,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,False,-354.445068359375,3,3,1.0,0.22796610169491524,0.0,800,250,0.03125,0.1625,1.06875,0.99875,3.56375,0.95,5.66875
pheromone_ablation,trained_with_pheromone_eval_without_pheromone,2,101,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,False,-219.61492919921875,1,1,1.0,0.2461864406779661,0.0,800,262,0.00875,0.05375,0.07125,0.1,4.525,1.18625,5.88
pheromone_ablation,trained_with_pheromone_eval_without_pheromone,3,102,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,False,-533.1742553710938,2,1,0.5,0.23686440677966103,0.0,800,209,0.06,0.16375,1.0425,0.48125,5.1,2.20875,5.71375
pheromone_ablation,trained_with_pheromone_eval_without_pheromone,4,103,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,False,-262.02923583984375,3,3,1.0,0.23940677966101695,0.0,800,544,0.13625,0.24,0.25125,0.25,3.7475,1.30875,5.6225
