stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_tiny,1,120,1,1,75,100,1,0,-12.146961212158203,0.0,0.0,0.0,0.35,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,211,2,1,75,100,1,0,12.943525314331055,4.0,4.0,0.0,0.4,0.0,0,0,0,91,83,-1,-1,0.0
stage1a_single_agent_tiny,1,331,3,1,75,100,1,0,-17.51654815673828,0.0,0.0,0.0,0.45,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,451,4,1,75,100,1,0,-14.130529403686523,1.0,1.0,0.0,0.5,0.0,0,0,3,120,103,-1,-1,0.0
stage1a_single_agent_tiny,1,571,5,1,75,100,1,0,6.167551040649414,3.0,3.0,0.0,0.5,0.0,0,0,1,120,45,-1,-1,0.0
stage1a_single_agent_tiny,1,691,6,1,75,100,1,0,-23.639022827148438,0.0,0.0,0.0,0.5,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,756,7,1,75,100,1,0,19.472997665405273,4.0,4.0,0.0,0.4,0.0,1,0,0,65,58,-1,-1,0.0
stage1a_single_agent_tiny,1,788,8,1,75,100,1,0,28.561079025268555,4.0,4.0,0.0,0.15,0.0,0,0,0,32,20,-1,-1,0.0
stage1a_single_agent_tiny,1,796,9,1,75,100,1,0,27.390348434448242,4.0,4.0,0.0,0.05,0.5104166669771075,2,0,0,8,3,-1,-1,0.0
stage1a_single_agent_tiny,1,802,10,1,75,100,1,0,31.92173194885254,4.0,4.0,0.0,0.05,0.5120521721740564,1,0,0,6,2,-1,-1,0.0
stage1a_single_agent_tiny,1,922,11,1,75,100,1,0,-14.398639678955078,0.0,0.0,0.0,0.45,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1042,12,1,75,100,1,0,-18.073593139648438,0.0,0.0,0.0,0.2,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1162,13,1,75,100,1,0,-1.4715766906738281,2.0,2.0,0.0,0.5,0.0,0,0,2,120,44,-1,-1,0.0
stage1a_single_agent_tiny,1,1282,14,1,75,100,1,0,-22.24768829345703,0.0,0.0,0.0,0.25,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1377,15,1,75,100,1,0,145.17184448242188,4.0,4.0,4.0,0.35,0.0,0,0,0,95,92,92,0,0.042105263157894736
stage1a_single_agent_tiny,1,1384,16,1,75,100,1,0,31.899017333984375,4.0,4.0,0.0,0.05,0.5714285714285714,1,0,0,7,3,-1,-1,0.0
stage1a_single_agent_tiny,1,1504,17,1,75,100,1,0,1.304945707321167,2.0,2.0,0.0,0.4,0.0,0,0,2,120,61,-1,-1,0.0
stage1a_single_agent_tiny,1,1517,18,1,75,100,1,0,30.350425720214844,4.0,4.0,0.0,0.15,0.0,0,0,0,13,9,-1,-1,0.0
stage1a_single_agent_tiny,1,1636,19,1,75,100,1,0,18.93848419189453,4.0,4.0,0.0,0.3,0.0,0,0,0,119,113,-1,-1,0.0
stage1a_single_agent_tiny,1,1756,20,1,75,100,1,0,-19.20191192626953,0.0,0.0,0.0,0.45,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1859,21,1,75,100,1,0,23.553415298461914,4.0,4.0,0.0,0.35,0.0,0,0,0,103,90,-1,-1,0.0
stage1a_single_agent_tiny,1,1959,22,1,75,100,1,0,22.25820541381836,4.0,4.0,0.0,0.45,0.03,1,0,0,100,94,-1,-1,0.0
stage1a_single_agent_tiny,1,2048,23,1,75,100,1,0,17.838455200195312,4.0,4.0,0.0,0.5,0.011235955056179775,2,0,0,89,81,-1,-1,0.0
stage1a_single_agent_tiny,1,2142,24,1,75,100,1,0,133.07603454589844,4.0,4.0,4.0,0.4,0.0,0,0,0,94,91,91,0,0.0425531914893617
stage1a_single_agent_tiny,1,2172,25,1,75,100,1,0,31.733583450317383,4.0,4.0,0.0,0.05,0.0,0,0,0,30,26,-1,-1,0.0
stage1a_single_agent_tiny,1,2292,26,1,75,100,1,0,-13.008894920349121,0.0,0.0,0.0,0.4,0.0,0,0,4,120,-1,-1,-1,0.0
