stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_tiny,1,120,1,1,100,100,2,0,-14.780250549316406,0.0,0.0,0.0,0.44,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,240,2,1,100,100,2,0,-14.20469856262207,1.0,1.0,0.0,0.32,0.0,0,120,1,-1,-1,0.0
stage1a_single_agent_tiny,1,360,3,1,100,100,2,0,-5.0425190925598145,1.0,1.0,0.0,0.48,0.037355969605656965,1,120,84,-1,-1,0.0
stage1a_single_agent_tiny,1,480,4,1,100,100,2,0,24.74500846862793,1.0,1.0,1.0,0.48,0.0,0,120,43,43,0,0.008333333333333333
stage1a_single_agent_tiny,1,554,5,1,100,100,2,0,40.96870422363281,2.0,2.0,1.0,0.24,0.4146425522174812,1,74,9,74,65,0.013513513513513514
stage1a_single_agent_tiny,1,674,6,1,100,100,2,0,-16.112239837646484,0.0,0.0,0.0,0.4,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,794,7,1,100,100,2,0,-6.623860836029053,1.0,1.0,0.0,0.48,0.0,0,120,13,-1,-1,0.0
stage1a_single_agent_tiny,1,833,8,1,100,100,2,0,42.657779693603516,2.0,2.0,1.0,0.2,0.0,0,39,21,39,18,0.02564102564102564
stage1a_single_agent_tiny,1,953,9,1,100,100,2,0,-17.864906311035156,0.0,0.0,0.0,0.32,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1073,10,1,100,100,2,0,-8.141142845153809,1.0,1.0,0.0,0.4,0.058160258705417314,1,120,21,-1,-1,0.0
stage1a_single_agent_tiny,1,1159,11,1,100,100,2,0,4.940643310546875,2.0,2.0,0.0,0.52,0.0,0,86,44,-1,-1,0.0
stage1a_single_agent_tiny,1,1279,12,1,100,100,2,0,-14.64299488067627,0.0,0.0,0.0,0.32,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1399,13,1,100,100,2,0,-28.346797943115234,0.0,0.0,0.0,0.36,0.0,0,120,-1,-1,-1,0.0
