episode,global_step,epsilon,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,food_delivered,exploration_coverage,coverage_reward_total,pheromone_usage,pheromone_deposit_events,episode_length,collisions,reward_step_component,reward_pickup_component,reward_delivery_component,reward_collision_component,reward_exploration_component,reward_new_cell_component,reward_food_approach_component,reward_food_detected_component,reward_pheromone_follow_component,reward_pheromone_usage_component,reward_pheromone_deposit_component,reward_pheromone_component,swarm_efficiency
1,600,0.9715475,-180.77513122558594,1,1,0,0,0.21558704453441296,4.140000000000001,0.4541014466304558,1772,600,1042,-35.99999999999985,5.0,0.0,-1042.0,4.140000000000001,4.140000000000001,0.015014127095540394,0.49999999999999994,1.414175407234579,0.0,-17.719999999999864,-16.305824592765283,0.0
2,1200,0.9430475,-437.9836730957031,0,0,0,0,0.10931174089068826,2.0400000000000014,0.6216668335248929,1787,600,2577,-35.99999999999985,0.0,0.0,-2577.0,2.0400000000000014,2.0400000000000014,0.13189851888020826,0.1,0.6974281501863151,0.0,-17.869999999999862,-17.172571849813547,0.0
3,1800,0.9145475,-256.0212097167969,1,1,0,0,0.1548582995951417,2.940000000000002,0.48854226284490626,1605,600,1494,-35.99999999999985,5.0,0.0,-1494.0,2.940000000000002,2.940000000000002,0.1621162618001302,0.35,1.4699375634826717,0.0,-16.04999999999984,-14.580062436517169,0.0
4,2400,0.8860475,-325.1688537597656,0,0,0,0,0.17408906882591094,3.320000000000002,0.5286965122014631,1715,600,1903,-35.99999999999985,0.0,0.0,-1903.0,3.320000000000002,3.320000000000002,0.04898521423339842,0.65,1.118162476401776,0.0,-17.149999999999864,-16.03183752359809,0.0
5,3000,0.8575475,-413.1809997558594,0,0,0,0,0.09817813765182186,1.820000000000001,0.5965854953858475,1764,600,2428,-35.99999999999985,0.0,0.0,-2428.0,1.820000000000001,1.820000000000001,-0.13123973592122398,0.25,0.6172867662459612,0.0,-17.639999999999883,-17.022713233753922,0.0
6,3600,0.8290475,-222.6314239501953,1,1,0,0,0.201417004048583,3.860000000000003,0.45417785861860865,1695,600,1293,-35.99999999999985,5.0,0.0,-1293.0,3.860000000000003,3.860000000000003,0.003005884806315036,0.35,0.9478615923319013,0.0,-16.949999999999875,-16.002138407667974,0.0
7,4200,0.8005475,-281.0694885253906,1,1,0,0,0.16295546558704455,3.1000000000000023,0.5114188227723935,1730,600,1643,-35.99999999999985,5.0,0.0,-1643.0,3.1000000000000023,3.1000000000000023,0.2694692967732752,0.6,0.9130935246823356,0.0,-17.29999999999988,-16.386906475317545,0.0
8,4800,0.7720475,-161.75047302246094,0,0,0,0,0.18319838056680163,3.5000000000000027,0.4345175691956037,1686,600,923,-35.99999999999985,0.0,0.0,-923.0,3.5000000000000027,3.5000000000000027,-0.06494811503092453,0.44999999999999996,1.4713879912532863,0.0,-16.85999999999987,-15.388612008746586,0.0
9,5400,0.7435475,-242.78265380859375,1,1,0,0,0.16093117408906882,3.0600000000000023,0.4959899577729569,1784,600,1413,-35.99999999999985,5.0,0.0,-1413.0,3.0600000000000023,3.0600000000000023,0.42402418263753244,0.5499999999999999,1.1096233967319133,0.0,-17.83999999999986,-16.73037660326795,0.0
10,6000,0.7150475000000001,-329.2280578613281,0,0,0,0,0.12550607287449392,2.3600000000000017,0.5239529288258524,1755,600,1925,-35.99999999999985,0.0,0.0,-1925.0,2.3600000000000017,2.3600000000000017,-0.09769244384765627,0.2,0.7181287221238015,0.0,-17.549999999999876,-16.831871277876076,0.0
11,6600,0.6865475,-78.47621154785156,1,1,0,0,0.20445344129554655,3.920000000000003,0.40275124143880225,1699,600,429,-35.99999999999985,5.0,0.0,-429.0,3.920000000000003,3.920000000000003,0.231379430135091,0.35,1.6312650207057602,0.0,-16.989999999999856,-15.358734979294097,0.0
12,7200,0.6580475,-149.88929748535156,1,1,0,0,0.23279352226720648,4.479999999999993,0.41072790833318623,1705,600,858,-35.99999999999985,5.0,0.0,-858.0,4.479999999999993,4.479999999999993,0.061142283121744814,0.6,1.5724765348434444,0.0,-17.049999999999862,-15.477523465156418,0.0
13,7800,0.6295474999999999,-163.07676696777344,2,2,0,0,0.17408906882591094,3.3200000000000025,0.42490748016209795,1728,600,941,-35.99999999999985,10.0,0.0,-941.0,3.3200000000000025,3.3200000000000025,0.7105752474466972,0.5499999999999999,1.2378672570269553,0.0,-17.27999999999987,-16.042132742972914,0.0
14,8400,0.6010475,-332.8763427734375,0,0,0,0,0.09919028340080972,1.8400000000000012,0.49025483720880914,1681,600,1947,-35.99999999999985,0.0,0.0,-1947.0,1.8400000000000012,1.8400000000000012,-0.13965435791015626,0.0,0.8515749562159179,0.0,-16.809999999999878,-15.95842504378396,0.0
15,9000,0.5725475,-171.1644287109375,0,0,0,0,0.17307692307692307,3.3000000000000025,0.4283439445759156,1778,600,978,-35.99999999999985,0.0,0.0,-978.0,3.3000000000000025,3.3000000000000025,-0.010130254109700634,0.44999999999999996,1.0530017943866554,0.0,-17.7799999999999,-16.726998205613246,0.0
16,9600,0.5440475,-130.33460998535156,1,1,0,0,0.17105263157894737,3.2600000000000025,0.4437595745238165,1719,600,739,-35.99999999999985,5.0,0.0,-739.0,3.2600000000000025,3.2600000000000025,0.19638001505533853,0.49999999999999994,1.2262716908846045,0.0,-17.189999999999877,-15.963728309115272,0.0
17,10200,0.5155475,-92.50618743896484,0,0,0,0,0.14777327935222673,2.800000000000002,0.4079741219858341,1657,600,507,-35.99999999999985,0.0,0.0,-507.0,2.800000000000002,2.800000000000002,-0.057519287109375046,0.2,1.5905025390163061,0.0,-16.569999999999858,-14.979497460983552,0.0
18,10800,0.48704749999999997,-260.2073059082031,1,1,0,0,0.15182186234817813,2.880000000000002,0.4287521953880544,1548,600,1519,-35.99999999999985,5.0,0.0,-1519.0,2.880000000000002,2.880000000000002,0.321692923227946,0.3,0.7336660709604621,0.0,-15.479999999999855,-14.746333929039393,0.0
19,11400,0.4585475000000001,-117.12102508544922,0,0,0,0,0.13663967611336034,2.580000000000002,0.4153304813791409,1467,600,656,-35.99999999999985,0.0,0.0,-656.0,2.580000000000002,2.580000000000002,-0.13430884806315113,0.5499999999999999,0.9485686954669653,0.0,-14.669999999999867,-13.721431304532901,0.0
20,12000,0.4300475,-32.86924362182617,1,1,0,0,0.18016194331983806,3.4400000000000026,0.3889979985540817,1616,600,156,-35.99999999999985,5.0,0.0,-156.0,3.4400000000000026,3.4400000000000026,-0.08343119303385411,1.5000000000000007,1.088036389276385,0.0,-16.15999999999985,-15.071963610723467,0.0
21,12600,0.40154750000000006,-95.54293060302734,1,1,0,0,0.13663967611336034,2.600000000000002,0.41808153019660194,1335,600,532,-35.99999999999985,5.0,0.0,-532.0,2.600000000000002,2.600000000000002,-0.13822930908203124,0.05,0.5800728090852497,0.0,-13.349999999999872,-12.769927190914622,0.0
22,13200,0.3730475,-209.706787109375,0,0,0,0,0.12651821862348178,2.3800000000000012,0.4112820137535649,1532,600,1210,-35.99999999999985,0.0,0.0,-1210.0,2.3800000000000012,2.3800000000000012,-0.0670620625813802,0.35,0.4147395571880041,0.0,-15.319999999999855,-14.905260442811851,0.0
23,13800,0.3445475000000001,-254.9532928466797,0,0,0,0,0.1082995951417004,2.0200000000000014,0.49562209740033725,1522,600,1481,-35.99999999999985,0.0,0.0,-1481.0,2.0200000000000014,2.0200000000000014,-0.05502603149414064,0.15000000000000002,0.3845853687822819,0.0,-15.219999999999864,-14.835414631217581,0.0
24,14400,0.31604750000000004,-177.4322509765625,0,0,0,0,0.12449392712550607,2.3400000000000016,0.44989548793766715,1580,600,1016,-35.99999999999985,0.0,0.0,-1016.0,2.3400000000000016,2.3400000000000016,-0.0035828653971354068,0.0,0.8691351129859686,0.0,-15.799999999999864,-14.930864887013895,0.0
25,15000,0.28754750000000007,-7.886880397796631,0,0,0,0,0.15384615384615385,2.9200000000000017,0.3904697072639748,1395,600,1,-35.99999999999985,0.0,0.0,-1.0,2.9200000000000017,2.9200000000000017,-0.19894681294759112,0.15000000000000002,0.7578434610273687,0.0,-13.949999999999864,-13.192156538972496,0.0
26,15600,0.2590475,-7.303225994110107,0,0,0,0,0.16194331983805668,3.0800000000000023,0.41046647165492894,1158,600,0,-35.99999999999985,0.0,0.0,0.0,3.0800000000000023,3.0800000000000023,-0.23992709096272788,0.25,0.6707733507268132,0.0,-11.579999999999895,-10.909226649273082,0.0
27,16200,0.23054750000000013,-104.56279754638672,0,0,0,0,0.16396761133603238,3.1200000000000023,0.4079575334930269,1235,600,583,-35.99999999999985,0.0,0.0,-583.0,3.1200000000000023,3.1200000000000023,0.00341371663411458,0.2,0.6495977076329293,0.0,-12.34999999999988,-11.70040229236695,0.0
28,16800,0.20204750000000005,-232.109619140625,0,0,0,0,0.1194331983805668,2.2400000000000015,0.41408814710562486,1310,600,1346,-35.99999999999985,0.0,0.0,-1346.0,2.2400000000000015,2.2400000000000015,-0.07075140380859377,0.15000000000000002,0.12528355211019515,0.0,-13.099999999999865,-12.97471644788967,0.0
29,17400,0.17354750000000008,-11.337158203125,0,0,0,0,0.10121457489878542,1.9000000000000012,0.4779702790728576,1437,600,21,-35.99999999999985,0.0,0.0,-21.0,1.9000000000000012,1.9000000000000012,-0.12899230448404944,0.7500000000000001,0.8263362824544307,0.0,-14.36999999999987,-13.543663717545439,0.0
30,18000,0.1450475,-8.26714038848877,0,0,0,0,0.11842105263157894,2.2200000000000015,0.4464123480469506,1359,600,4,-35.99999999999985,0.0,0.0,-4.0,2.2200000000000015,2.2200000000000015,-0.1182028503417969,1.6500000000000008,0.23555155277252202,0.0,-13.589999999999863,-13.354448447227341,0.0
31,18600,0.11654750000000003,-17.17630958557129,0,0,0,0,0.12044534412955465,2.2600000000000016,0.3513017676714824,1007,600,60,-35.99999999999985,0.0,0.0,-60.0,2.2600000000000016,2.2600000000000016,-0.08194256591796875,0.6,0.23424431160092354,0.0,-10.069999999999906,-9.835755688398983,0.0
32,19200,0.08804750000000006,-12.188067436218262,0,0,0,0,0.1548582995951417,2.940000000000002,0.42333438960979236,1341,600,27,-35.99999999999985,0.0,0.0,-27.0,2.940000000000002,2.940000000000002,-0.2540990549723309,0.2,0.3957398608513176,0.0,-13.409999999999876,-13.014260139148558,0.0
33,19800,0.059547500000000086,-8.6652250289917,0,0,0,0,0.14676113360323886,2.780000000000002,0.3966425127996222,1532,600,5,-35.99999999999985,0.0,0.0,-5.0,2.780000000000002,2.780000000000002,-0.05410407511393229,1.1500000000000004,0.45295854982919986,0.0,-15.31999999999985,-14.86704145017065,0.0
34,20400,0.05,-7.76605749130249,0,0,0,0,0.09109311740890688,1.680000000000001,0.3867613576774197,1301,600,0,-35.99999999999985,0.0,0.0,0.0,1.680000000000001,1.680000000000001,-0.11379180399576824,0.2,0.6476725736260417,0.0,-13.00999999999987,-12.36232742637383,0.0
35,21000,0.05,-39.579010009765625,0,0,0,0,0.19331983805668015,3.700000000000003,0.3532361570059099,1423,600,193,-35.99999999999985,0.0,0.0,-193.0,3.700000000000003,3.700000000000003,-0.02192833455403637,1.7500000000000009,0.32728836804628375,0.0,-14.229999999999851,-13.902711631953567,0.0
36,21600,0.05,-7.8682098388671875,0,0,0,0,0.17813765182186234,3.4000000000000026,0.37636022951582465,1633,600,0,-35.99999999999985,0.0,0.0,0.0,3.4000000000000026,3.4000000000000026,-0.07128645833333336,1.1500000000000004,0.6422472475469113,0.0,-16.329999999999867,-15.687752752452955,0.0
37,22200,0.05,-6.5835700035095215,1,1,0,0,0.1882591093117409,3.6000000000000028,0.37057069521188774,1295,600,1,-35.99999999999985,5.0,0.0,-1.0,3.6000000000000028,3.6000000000000028,-0.002991484324137361,0.7000000000000001,1.1517439740523694,0.0,-12.949999999999868,-11.798256025947499,0.0
38,22800,0.05,-101.7599868774414,1,1,0,0,0.14979757085020243,2.840000000000002,0.35564173376941954,1382,600,570,-35.99999999999985,5.0,0.0,-570.0,2.840000000000002,2.840000000000002,0.019623017628987577,1.0000000000000002,0.40013100564479814,0.0,-13.819999999999864,-13.419868994355065,0.0
39,23400,0.05,-41.88380813598633,1,1,0,0,0.10425101214574899,1.9400000000000013,0.4227560989920958,1561,600,209,-35.99999999999985,5.0,0.0,-209.0,1.9400000000000013,1.9400000000000013,0.20608002217610677,1.850000000000001,0.3112308724969626,0.0,-15.609999999999852,-15.29876912750289,0.0
40,24000,0.05,-149.11041259765625,0,0,0,0,0.1396761133603239,2.640000000000002,0.3604008792144143,1593,600,846,-35.99999999999985,0.0,0.0,-846.0,2.640000000000002,2.640000000000002,-0.04014040120442697,0.35,0.31900908887386326,0.0,-15.929999999999843,-15.610990911125981,0.0
41,24600,0.05,-23.08757209777832,0,0,0,0,0.2702429149797571,5.219999999999982,0.3609304664243973,1852,600,92,-35.99999999999985,0.0,0.0,-92.0,5.219999999999982,5.219999999999982,-0.10685852050781236,1.2000000000000004,1.6814641133509574,0.0,-18.519999999999943,-16.838535886648984,0.0
42,25200,0.05,-51.34220886230469,0,0,0,0,0.14777327935222673,2.800000000000002,0.42144958711808916,1855,600,257,-35.99999999999985,0.0,0.0,-257.0,2.800000000000002,2.800000000000002,-0.13154054768880205,0.15000000000000002,0.6781341558136045,0.0,-18.54999999999994,-17.871865844186335,0.0
43,25800,0.05,-66.0627212524414,1,1,0,0,0.11538461538461539,2.1600000000000015,0.40160276751069535,1175,600,357,-35.99999999999985,5.0,0.0,-357.0,2.1600000000000015,2.1600000000000015,-0.0002679913838704506,0.5499999999999999,0.6638967840839176,0.0,-11.749999999999883,-11.086103215915966,0.0
44,26400,0.05,-92.05907440185547,1,1,0,0,0.15991902834008098,3.0400000000000023,0.3880103077667607,1732,600,508,-35.99999999999985,5.0,0.0,-508.0,3.0400000000000023,3.0400000000000023,0.05000552113850916,0.44999999999999996,0.42433897728100417,0.0,-17.31999999999991,-16.895661022718908,0.0
45,27000,0.05,-157.02418518066406,1,1,0,0,0.12348178137651822,2.3200000000000016,0.3680804597992957,1390,600,901,-35.99999999999985,5.0,0.0,-901.0,2.3200000000000016,2.3200000000000016,0.0984524014790852,0.39999999999999997,0.9369327188702298,0.0,-13.89999999999986,-12.96306728112963,0.0
46,27600,0.05,-7.522195339202881,0,0,0,0,0.2074898785425101,3.980000000000003,0.3232782727630547,1519,600,0,-35.99999999999985,0.0,0.0,0.0,3.980000000000003,3.980000000000003,-0.10074171956380211,0.0,2.177733624698595,0.0,-15.189999999999854,-13.012266375301259,0.0
47,28200,0.05,-6.200311183929443,2,2,0,0,0.19939271255060728,3.820000000000003,0.34931601347244895,1974,600,0,-35.99999999999985,10.0,0.0,0.0,3.820000000000003,3.820000000000003,0.8648973426818853,1.5500000000000007,2.3033062789030363,0.0,-19.739999999999934,-17.436693721096898,0.0
48,28800,0.05,-85.839111328125,1,1,0,0,0.2165991902834008,4.16,0.31509607357219566,1572,600,475,-35.99999999999985,5.0,0.0,-475.0,4.16,4.16,0.05893148167928062,0.55,1.9162974950065834,0.0,-15.719999999999862,-13.803702504993279,0.0
49,29400,0.05,-7.752710819244385,0,0,0,0,0.11336032388663968,2.1200000000000014,0.38938800753076475,1447,600,0,-35.99999999999985,0.0,0.0,0.0,2.1200000000000014,2.1200000000000014,0.14748367309570323,1.2500000000000004,0.4363946827501058,0.0,-14.469999999999892,-14.033605317249787,0.0
50,30000,0.05,-6.628599643707275,1,1,0,0,0.24595141700404857,4.73999999999999,0.321776741407561,1685,600,0,-35.99999999999985,5.0,0.0,0.0,4.73999999999999,4.73999999999999,0.43511233520507775,0.7000000000000001,2.2033523433655486,0.0,-16.84999999999989,-14.646647656634343,0.0
51,30600,0.05,-6.564965724945068,1,1,0,0,0.20445344129554655,3.9200000000000026,0.32300297942209,1581,600,0,-35.99999999999985,5.0,0.0,0.0,3.9200000000000026,3.9200000000000026,-0.009924344380696663,1.3000000000000003,2.2102258957922465,0.0,-15.809999999999894,-13.599774104207647,0.0
52,31200,0.05,-16.2554988861084,1,1,0,0,0.19635627530364372,3.760000000000003,0.378566664442551,1774,600,54,-35.99999999999985,5.0,0.0,-54.0,3.760000000000003,3.760000000000003,0.11380977121988943,0.15000000000000002,1.1833267685584723,0.0,-17.739999999999903,-16.55667323144143,0.0
53,31800,0.05,-6.866478443145752,1,1,0,0,0.18927125506072875,3.6200000000000028,0.3386525424914564,1666,600,2,-35.99999999999985,5.0,0.0,-2.0,3.6200000000000028,3.6200000000000028,0.1399183425903321,2.1000000000000005,2.6013046607421724,0.0,-16.6599999999999,-14.058695339257728,0.0
54,32400,0.05,-6.338376522064209,1,1,0,0,0.22064777327935223,4.239999999999999,0.3428906140967673,1533,600,0,-35.99999999999985,5.0,0.0,0.0,4.239999999999999,4.239999999999999,-0.04347914250691726,2.2,1.903337777685375,0.0,-15.329999999999856,-13.426662222314482,0.0
55,33000,0.05,-10.04080867767334,0,0,0,0,0.1720647773279352,3.2800000000000025,0.3522370150202834,1392,600,16,-35.99999999999985,0.0,0.0,-16.0,3.2800000000000025,3.2800000000000025,-0.28074927775065145,1.3000000000000005,1.3761104658991108,0.0,-13.919999999999883,-12.543889534100773,0.0
56,33600,0.05,-7.242076396942139,0,0,0,0,0.2165991902834008,4.159999999999999,0.33194048909089663,1569,600,0,-35.99999999999985,0.0,0.0,0.0,4.159999999999999,4.159999999999999,0.0012536519368489644,2.4000000000000004,1.6763969620317216,0.0,-15.689999999999882,-14.01360303796816,0.0
57,34200,0.05,-7.623682498931885,0,0,0,0,0.20647773279352227,3.960000000000003,0.3516755837440805,1782,600,0,-35.99999999999985,0.0,0.0,0.0,3.960000000000003,3.960000000000003,-0.13058208211263025,3.1999999999999966,1.048606788888574,0.0,-17.819999999999926,-16.771393211111352,0.0
58,34800,0.05,-6.92868185043335,1,1,0,0,0.19736842105263158,3.7800000000000025,0.3404431281531045,1632,600,0,-35.99999999999985,5.0,0.0,0.0,3.7800000000000025,3.7800000000000025,-0.047013711293538325,0.65,1.365060934312641,0.0,-16.319999999999876,-14.954939065687235,0.0
59,35400,0.05,-14.557755470275879,0,0,0,0,0.2520242914979757,4.859999999999987,0.30745670422036914,1530,600,44,-35.99999999999985,0.0,0.0,-44.0,4.859999999999987,4.859999999999987,-0.049439432779947876,1.0500000000000003,2.0928826872445647,0.0,-15.299999999999864,-13.2071173127553,0.0
60,36000,0.05,-124.11547088623047,1,1,0,0,0.21558704453441296,4.140000000000001,0.34556407205156575,1440,600,705,-35.99999999999985,5.0,0.0,-705.0,4.140000000000001,4.140000000000001,0.24345172627766953,0.35,0.9740043198689818,0.0,-14.399999999999865,-13.425995680130884,0.0
61,36600,0.05,-92.37503051757812,1,1,0,0,0.25303643724696356,4.879999999999985,0.3032644587136666,1419,600,516,-35.99999999999985,5.0,0.0,-516.0,4.879999999999985,4.879999999999985,0.15783558909098297,0.2,1.702495334744454,0.0,-14.189999999999852,-12.487504665255399,0.0
62,37200,0.05,-32.51972198486328,0,0,0,0,0.29554655870445345,5.7199999999999696,0.27902891821208564,1607,600,151,-35.99999999999985,0.0,0.0,-151.0,5.7199999999999696,5.7199999999999696,0.10940306599934911,0.35,1.7723978110402814,0.0,-16.06999999999985,-14.29760218895957,0.0
63,37777,0.05,-5.479119777679443,4,4,0,0,0.23582995951417005,4.539999999999994,0.32693566292105386,1497,577,10,-34.6199999999998,20.0,0.0,-10.0,4.539999999999994,4.539999999999994,0.5012824681599937,0.35,1.3241285875998436,0.0,-14.969999999999892,-13.645871412400048,0.0
64,38377,0.05,-6.7245259284973145,0,0,0,0,0.2601214574898785,5.019999999999988,0.27479678441718636,1379,600,0,-35.99999999999985,0.0,0.0,0.0,5.019999999999988,5.019999999999988,0.17455956013997387,1.5500000000000007,2.698386044930666,0.0,-13.789999999999882,-11.091613955069215,0.0
65,38977,0.05,-97.8388442993164,2,2,0,0,0.23178137651821862,4.479999999999994,0.2678745904108089,1068,600,558,-35.99999999999985,10.0,0.0,-558.0,4.479999999999994,4.479999999999994,0.002357663472493711,0.6,2.5656557070091375,0.0,-10.679999999999904,-8.114344292990767,0.0
66,39577,0.05,-7.300233364105225,0,0,0,0,0.2236842105263158,4.299999999999998,0.32644861214385956,1430,600,0,-35.99999999999985,0.0,0.0,0.0,4.299999999999998,4.299999999999998,0.011663401285807201,1.0000000000000002,1.1870406400412323,0.0,-14.29999999999987,-13.112959359958637,0.0
67,40177,0.05,-32.24666213989258,1,1,0,0,0.18724696356275303,3.5800000000000027,0.3790721193995866,1351,600,156,-35.99999999999985,5.0,0.0,-156.0,3.5800000000000027,3.5800000000000027,-0.09946678670247397,2.4499999999999993,1.0995830284059047,0.0,-13.509999999999874,-12.41041697159397,0.0
68,40777,0.05,-53.9140625,0,0,0,0,0.19838056680161945,3.8000000000000025,0.36229754555885546,1285,600,280,-35.99999999999985,0.0,0.0,-280.0,3.8000000000000025,3.8000000000000025,-0.14211282857259108,1.0000000000000002,0.7076441374048591,0.0,-12.849999999999888,-12.142355862595029,0.0
69,41377,0.05,-120.25203704833984,2,2,0,0,0.2074898785425101,3.980000000000003,0.315672071610271,1524,600,686,-35.99999999999985,10.0,0.0,-686.0,3.980000000000003,3.980000000000003,0.19608881632486977,0.6,0.9501044740201906,0.0,-15.239999999999865,-14.289895525979675,0.0
70,41977,0.05,-91.04576873779297,1,1,0,0,0.25101214574898784,4.839999999999991,0.3208108136345254,1350,600,508,-35.99999999999985,5.0,0.0,-508.0,4.839999999999991,4.839999999999991,-0.07864314015706386,0.6,0.864835158213973,0.0,-13.499999999999874,-12.635164841785901,0.0
71,42577,0.05,-117.94793701171875,0,0,0,0,0.2601214574898785,5.019999999999986,0.30650997370450367,1831,600,661,-35.99999999999985,0.0,0.0,-661.0,5.019999999999986,5.019999999999986,0.05001344807942701,1.5000000000000007,1.051259036650881,0.0,-18.309999999999906,-17.258740963349027,0.0
72,43177,0.05,-9.078856468200684,2,2,0,0,0.2682186234817814,5.1799999999999855,0.3019123327152192,1760,600,20,-35.99999999999985,10.0,0.0,-20.0,5.1799999999999855,5.1799999999999855,0.26709609603881834,1.3000000000000005,2.379886943441817,0.0,-17.599999999999927,-15.220113056558109,0.0
73,43777,0.05,-190.5718994140625,2,2,0,0,0.19129554655870445,3.660000000000003,0.3077147156207017,1254,600,1110,-35.99999999999985,10.0,0.0,-1110.0,3.660000000000003,3.660000000000003,0.24077852757771798,0.65,0.5582717952132223,0.0,-12.539999999999878,-11.981728204786656,0.0
74,44377,0.05,-6.339761257171631,1,1,0,0,0.23076923076923078,4.439999999999997,0.32749561616341655,1220,600,1,-35.99999999999985,5.0,0.0,-1.0,4.439999999999997,4.439999999999997,0.034457984924316426,0.39999999999999997,1.287107496634126,0.0,-12.19999999999989,-10.912892503365763,0.0
75,44977,0.05,-77.73746490478516,3,3,0,0,0.28441295546558704,5.499999999999978,0.33945932481712787,1671,600,436,-35.99999999999985,15.0,0.0,-436.0,5.499999999999978,5.499999999999978,0.30497588475545223,0.49999999999999994,0.9803185324743388,0.0,-16.70999999999988,-15.729681467525541,0.0
76,45577,0.05,-15.53456974029541,0,0,0,0,0.20850202429149797,4.000000000000003,0.31717788588754453,1557,600,48,-35.99999999999985,0.0,0.0,-48.0,4.000000000000003,4.000000000000003,0.07424910481770844,1.0000000000000004,1.2884140760404987,0.0,-15.56999999999986,-14.281585923959362,0.0
77,46177,0.05,-163.2390899658203,0,0,0,0,0.19331983805668015,3.700000000000003,0.3607021462781268,1874,600,930,-35.99999999999985,0.0,0.0,-930.0,3.700000000000003,3.700000000000003,-0.00881386311848947,0.5499999999999999,1.0630345565825698,0.0,-18.739999999999917,-17.676965443417348,0.0
78,46777,0.05,-62.2935791015625,2,2,0,0,0.16295546558704455,3.1000000000000023,0.3460701514643329,1339,600,339,-35.99999999999985,10.0,0.0,-339.0,3.1000000000000023,3.1000000000000023,-0.037446006774902604,0.35,1.2162623832374813,0.0,-13.389999999999862,-12.17373761676238,0.0
79,47377,0.05,-6.554605960845947,0,0,0,0,0.20040485829959515,3.840000000000003,0.31704668433872735,903,600,0,-35.99999999999985,0.0,0.0,0.0,3.840000000000003,3.840000000000003,0.029899470011393176,0.9500000000000003,0.882620601207018,0.0,-9.02999999999992,-8.147379398792902,0.0
80,47977,0.05,-190.50831604003906,0,0,0,0,0.12651821862348178,2.3800000000000017,0.3967400446836756,1495,600,1096,-35.99999999999985,0.0,0.0,-1096.0,2.3800000000000017,2.3800000000000017,-0.16663466389973985,0.8500000000000002,0.838719309233129,0.0,-14.94999999999987,-14.11128069076674,0.0
81,48577,0.05,-61.21943664550781,2,2,0,0,0.19230769230769232,3.680000000000003,0.3181912273265415,1181,600,335,-35.99999999999985,10.0,0.0,-335.0,3.680000000000003,3.680000000000003,0.32162075169881144,0.39999999999999997,1.0920175902731717,0.0,-11.809999999999887,-10.717982409726716,0.0
82,49177,0.05,-152.6138458251953,1,1,0,0,0.15890688259109312,3.0200000000000022,0.33510909154887486,1037,600,878,-35.99999999999985,5.0,0.0,-878.0,3.0200000000000022,3.0200000000000022,0.030375335693359366,0.05,0.586704269349575,0.0,-10.36999999999991,-9.783295730650336,0.0
