stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,pheromone_enabled,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_tiny,1,120,1,1,100,100,2,0,False,-14.780250549316406,0.0,0.0,0.0,0.44,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,240,2,1,100,100,2,0,False,-14.359270095825195,1.0,1.0,0.0,0.32,0.0,0,120,1,-1,-1,0.0
stage1a_single_agent_tiny,1,360,3,1,100,100,2,0,False,2.872581720352173,2.0,2.0,0.0,0.48,0.0,0,120,46,-1,-1,0.0
stage1a_single_agent_tiny,1,480,4,1,100,100,2,0,False,3.290212631225586,2.0,2.0,0.0,0.36,0.0,0,120,83,-1,-1,0.0
stage1a_single_agent_tiny,1,600,5,1,100,100,2,0,False,-22.37517547607422,0.0,0.0,0.0,0.28,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,720,6,1,100,100,2,0,False,-9.87402629852295,1.0,1.0,0.0,0.28,0.0,0,120,55,-1,-1,0.0
stage1a_single_agent_tiny,1,840,7,1,100,100,2,0,False,10.517866134643555,2.0,2.0,0.0,0.4,0.0,0,120,76,-1,-1,0.0
stage1a_single_agent_tiny,1,960,8,1,100,100,2,0,False,16.85980987548828,3.0,3.0,0.0,0.4,0.0,0,120,13,-1,-1,0.0
stage1a_single_agent_tiny,1,1080,9,1,100,100,2,0,False,10.891587257385254,3.0,3.0,0.0,0.48,0.0,0,120,12,-1,-1,0.0
stage1a_single_agent_tiny,1,1200,10,1,100,100,2,0,False,-31.50211524963379,0.0,0.0,0.0,0.2,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1320,11,1,100,100,2,0,False,9.581839561462402,3.0,3.0,0.0,0.24,0.0,0,120,7,-1,-1,0.0
stage1a_single_agent_tiny,1,1440,12,1,100,100,2,0,False,-9.907464981079102,1.0,1.0,0.0,0.44,0.0,0,120,101,-1,-1,0.0
stage1a_single_agent_tiny,1,1560,13,1,100,100,2,0,False,20.32926368713379,1.0,1.0,1.0,0.36,0.0,0,120,54,54,0,0.008333333333333333
stage1a_single_agent_tiny,1,1680,14,1,100,100,2,0,False,-11.684122085571289,0.0,0.0,0.0,0.36,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1800,15,1,100,100,2,0,False,-11.2289400100708,1.0,1.0,0.0,0.2,0.0,0,120,11,-1,-1,0.0
stage1a_single_agent_tiny,1,1920,16,1,100,100,2,0,False,-3.60642409324646,1.0,1.0,0.0,0.2,0.0,0,120,12,-1,-1,0.0
stage1a_single_agent_tiny,1,2040,17,1,100,100,2,0,False,-7.127571105957031,0.0,0.0,0.0,0.4,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2160,18,1,100,100,2,0,False,-3.196246385574341,1.0,1.0,0.0,0.4,0.0,0,120,90,-1,-1,0.0
stage1a_single_agent_tiny,1,2280,19,1,100,100,2,0,False,-11.012330055236816,1.0,1.0,0.0,0.36,0.0,0,120,7,-1,-1,0.0
stage1a_single_agent_tiny,1,2400,20,1,100,100,2,0,False,1.313918948173523,2.0,2.0,0.0,0.4,0.0,0,120,27,-1,-1,0.0
stage1a_single_agent_tiny,1,2520,21,1,100,100,2,0,False,-9.158409118652344,2.0,2.0,0.0,0.36,0.0,0,120,77,-1,-1,0.0
stage1a_single_agent_tiny,1,2640,22,1,100,100,2,0,False,-16.256216049194336,0.0,0.0,0.0,0.48,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2760,23,1,100,100,2,0,False,-9.066117286682129,2.0,2.0,0.0,0.32,0.0,0,120,36,-1,-1,0.0
stage1a_single_agent_tiny,1,2880,24,1,100,100,2,0,False,7.94748592376709,3.0,3.0,0.0,0.56,0.0,0,120,92,-1,-1,0.0
stage1a_single_agent_tiny,1,3000,25,1,100,100,2,0,False,32.800052642822266,2.0,2.0,1.0,0.32,0.0,0,120,21,21,0,0.008333333333333333
stage1a_single_agent_tiny,1,3120,26,1,100,100,2,0,False,-1.6357662677764893,2.0,2.0,0.0,0.4,0.0,0,120,102,-1,-1,0.0
stage1a_single_agent_tiny,1,3240,27,1,100,100,2,0,False,-15.338998794555664,2.0,2.0,0.0,0.36,0.0,0,120,74,-1,-1,0.0
stage1a_single_agent_tiny,1,3360,28,1,100,100,2,0,False,-7.8605875968933105,1.0,1.0,0.0,0.4,0.0,0,120,70,-1,-1,0.0
stage1a_single_agent_tiny,1,3480,29,1,100,100,2,0,False,-12.379949569702148,1.0,1.0,0.0,0.56,0.0,0,120,77,-1,-1,0.0
stage1a_single_agent_tiny,1,3600,30,1,100,100,2,0,False,-7.851497173309326,1.0,1.0,0.0,0.32,0.0,0,120,27,-1,-1,0.0
stage1a_single_agent_tiny,1,3720,31,1,100,100,2,0,False,-6.458606243133545,1.0,1.0,0.0,0.44,0.0,0,120,97,-1,-1,0.0
stage1a_single_agent_tiny,1,3840,32,1,100,100,2,0,False,-3.0148844718933105,2.0,2.0,0.0,0.32,0.0,0,120,12,-1,-1,0.0
stage1a_single_agent_tiny,1,3960,33,1,100,100,2,0,False,3.957484245300293,2.0,2.0,0.0,0.28,0.0,0,120,35,-1,-1,0.0
stage1a_single_agent_tiny,1,4080,34,1,100,100,2,0,False,21.978832244873047,4.0,4.0,0.0,0.6,0.0,0,120,3,-1,-1,0.0
stage1a_single_agent_tiny,1,4200,35,1,100,100,2,0,False,14.189083099365234,3.0,3.0,0.0,0.44,0.0,0,120,50,-1,-1,0.0
stage1a_single_agent_tiny,1,4320,36,1,100,100,2,0,False,24.54404640197754,6.0,6.0,0.0,0.52,0.0,0,120,11,-1,-1,0.0
stage1a_single_agent_tiny,1,4440,37,1,100,100,2,0,False,-21.848861694335938,0.0,0.0,0.0,0.4,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4560,38,1,100,100,2,0,False,-9.52238941192627,1.0,1.0,0.0,0.32,0.0,0,120,36,-1,-1,0.0
stage1a_single_agent_tiny,1,4680,39,1,100,100,2,0,False,19.035367965698242,4.0,4.0,0.0,0.4,0.0,0,120,5,-1,-1,0.0
stage1a_single_agent_tiny,1,4800,40,1,100,100,2,0,False,11.091375350952148,3.0,3.0,0.0,0.56,0.0,0,120,10,-1,-1,0.0
stage1a_single_agent_tiny,1,4920,41,1,100,100,2,0,False,-13.16277027130127,0.0,0.0,0.0,0.32,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5040,42,1,100,100,2,0,False,7.9360785484313965,3.0,3.0,0.0,0.52,0.0,0,120,20,-1,-1,0.0
stage1a_single_agent_tiny,1,5160,43,1,100,100,2,0,False,-14.368313789367676,1.0,1.0,0.0,0.32,0.0,0,120,28,-1,-1,0.0
stage1a_single_agent_tiny,1,5280,44,1,100,100,2,0,False,24.222312927246094,5.0,5.0,0.0,0.44,0.0,0,120,15,-1,-1,0.0
stage1a_single_agent_tiny,1,5400,45,1,100,100,2,0,False,6.4285688400268555,3.0,3.0,0.0,0.48,0.0,0,120,82,-1,-1,0.0
stage1a_single_agent_tiny,1,5520,46,1,100,100,2,0,False,-3.0936756134033203,2.0,2.0,0.0,0.44,0.0,0,120,86,-1,-1,0.0
stage1a_single_agent_tiny,1,5640,47,1,100,100,2,0,False,-10.945356369018555,1.0,1.0,0.0,0.48,0.0,0,120,17,-1,-1,0.0
stage1a_single_agent_tiny,1,5760,48,1,100,100,2,0,False,-7.469890117645264,2.0,2.0,0.0,0.48,0.0,0,120,16,-1,-1,0.0
stage1a_single_agent_tiny,1,5880,49,1,100,100,2,0,False,31.72481346130371,6.0,6.0,0.0,0.4,0.0,0,120,62,-1,-1,0.0
stage1a_single_agent_tiny,1,6000,50,1,100,100,2,0,False,-3.3269877433776855,1.0,1.0,0.0,0.48,0.0,0,120,34,-1,-1,0.0
stage1a_single_agent_tiny,1,6120,51,1,100,100,2,0,False,-12.478233337402344,1.0,1.0,0.0,0.4,0.0,0,120,98,-1,-1,0.0
stage1a_single_agent_tiny,1,6240,52,1,100,100,2,0,False,45.840389251708984,4.0,4.0,1.0,0.36,0.0,0,120,27,40,13,0.008333333333333333
stage1a_single_agent_tiny,1,6360,53,1,100,100,2,0,False,-18.419910430908203,0.0,0.0,0.0,0.32,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6480,54,1,100,100,2,0,False,22.23073387145996,1.0,1.0,1.0,0.52,0.0,0,120,28,28,0,0.008333333333333333
