stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_very_tiny,1,2649,35,1,50,50,1,0,131.72357177734375,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,57,54,54,0,0.07017543859649122
stage1a_single_agent_very_tiny,1,2769,36,1,50,50,1,0,50.445560455322266,2.0,2.0,2.0,0.4444444444444444,0.0,0,0,2,120,92,92,0,0.016666666666666666
stage1a_single_agent_very_tiny,1,2794,37,1,50,50,1,0,148.67803955078125,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,25,22,22,0,0.16
stage1a_single_agent_very_tiny,1,2798,38,1,50,50,1,0,150.43922424316406,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0
stage1a_single_agent_very_tiny,1,2889,39,1,50,50,1,0,122.65132904052734,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,91,88,88,0,0.04395604395604396
stage1a_single_agent_very_tiny,1,2979,40,1,50,50,1,0,136.0299072265625,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,90,87,87,0,0.044444444444444446
stage1a_single_agent_very_tiny,1,3099,41,1,50,50,1,0,-28.151418685913086,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_very_tiny,1,3219,42,1,50,50,1,0,34.39716339111328,2.0,2.0,2.0,0.4444444444444444,0.0,0,0,2,120,93,93,0,0.016666666666666666
stage1a_single_agent_very_tiny,1,3339,43,1,50,50,1,0,8.54769515991211,1.0,1.0,1.0,0.4444444444444444,0.0,0,0,3,120,14,14,0,0.008333333333333333
stage1a_single_agent_very_tiny,1,3459,44,1,50,50,1,0,41.42783737182617,2.0,2.0,2.0,0.4444444444444444,0.0,0,0,2,120,109,109,0,0.016666666666666666
stage1a_single_agent_very_tiny,1,3494,45,1,50,50,1,0,144.1822052001953,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,35,32,32,0,0.11428571428571428
stage1a_single_agent_very_tiny,1,3498,46,1,50,50,1,0,148.94000244140625,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0
stage1a_single_agent_very_tiny,1,3555,47,1,50,50,1,0,143.86605834960938,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,57,54,54,0,0.07017543859649122
stage1a_single_agent_very_tiny,1,3675,48,1,50,50,1,0,-36.89107894897461,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_very_tiny,1,3795,49,1,50,50,1,0,85.84535217285156,3.0,3.0,3.0,0.4444444444444444,0.0,0,0,1,120,118,118,0,0.025
stage1a_single_agent_very_tiny,1,3860,50,1,50,50,1,0,132.0439910888672,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,65,62,62,0,0.06153846153846154
stage1a_single_agent_very_tiny,1,3920,51,1,50,50,1,0,136.17124938964844,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,60,52,52,0,0.06666666666666667
stage1a_single_agent_very_tiny,1,3924,52,1,50,50,1,0,148.94000244140625,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0
stage1a_single_agent_very_tiny,1,4044,53,1,50,50,1,0,58.06297302246094,2.0,2.0,2.0,0.4444444444444444,0.0,0,0,2,120,7,7,0,0.016666666666666666
stage1a_single_agent_very_tiny,1,4164,54,1,50,50,1,0,9.581618309020996,1.0,1.0,1.0,0.4444444444444444,0.0,0,0,3,120,51,51,0,0.008333333333333333
stage1a_single_agent_very_tiny,1,4284,55,1,50,50,1,0,-25.149457931518555,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_very_tiny,1,4404,56,1,50,50,1,0,18.735885620117188,1.0,1.0,1.0,0.4444444444444444,0.0,0,0,3,120,55,55,0,0.008333333333333333
stage1a_single_agent_very_tiny,1,4524,57,1,50,50,1,0,19.051843643188477,1.0,1.0,1.0,0.4444444444444444,0.0,0,0,3,120,120,120,0,0.008333333333333333
stage1a_single_agent_very_tiny,1,4644,58,1,50,50,1,0,13.931737899780273,1.0,1.0,1.0,0.4444444444444444,0.0,0,0,3,120,72,72,0,0.008333333333333333
stage1a_single_agent_very_tiny,1,4745,59,1,50,50,1,0,127.2850341796875,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,101,34,34,0,0.039603960396039604
stage1a_single_agent_very_tiny,1,4865,60,1,50,50,1,0,-22.21723747253418,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_very_tiny,1,4985,61,1,50,50,1,0,-15.964795112609863,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_very_tiny,1,5064,62,1,50,50,1,0,134.39181518554688,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,79,60,60,0,0.05063291139240506
stage1a_single_agent_very_tiny,1,5099,63,1,50,50,1,0,142.83319091796875,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,35,32,32,0,0.11428571428571428
stage1a_single_agent_very_tiny,1,5124,64,1,50,50,1,0,139.65431213378906,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,25,15,15,0,0.16
stage1a_single_agent_very_tiny,1,5244,65,1,50,50,1,0,-26.92513656616211,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_very_tiny,1,5303,66,1,50,50,1,0,139.315673828125,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,59,56,56,0,0.06779661016949153
stage1a_single_agent_very_tiny,1,5423,67,1,50,50,1,0,-35.64436340332031,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_very_tiny,1,5523,68,1,50,50,1,0,126.82145690917969,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,100,78,78,0,0.04
stage1a_single_agent_very_tiny,1,5566,69,1,50,50,1,0,142.41452026367188,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,43,40,40,0,0.09302325581395349
stage1a_single_agent_very_tiny,1,5686,70,1,50,50,1,0,46.65026092529297,2.0,2.0,2.0,0.4444444444444444,0.0,0,0,2,120,115,115,0,0.016666666666666666
stage1a_single_agent_very_tiny,1,5751,71,1,50,50,1,0,136.510009765625,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,65,61,61,0,0.06153846153846154
stage1a_single_agent_very_tiny,1,5813,72,1,50,50,1,0,139.251953125,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,62,46,46,0,0.06451612903225806
