seed,episodes,food_delivered,food_picked_up,food_discovered,pheromone_usage,food_source_respawns,food_units_remaining,episode_length,checkpoint_dir
0,1,4.0,6.0,6.0,0.22835264394886814,1.0,10.0,800.0,checkpoints/mappo_g/latest
1,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
2,1,2.0,4.0,4.0,0.15085863060869695,1.0,12.0,800.0,checkpoints/mappo_g/latest
3,1,5.0,5.0,5.0,0.16939125866570975,1.0,11.0,800.0,checkpoints/mappo_g/latest
4,1,2.0,4.0,4.0,0.08737145862255906,0.0,8.0,800.0,checkpoints/mappo_g/latest
5,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
6,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
7,1,1.0,3.0,3.0,0.1176126474936124,0.0,9.0,800.0,checkpoints/mappo_g/latest
8,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
9,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
10,1,2.0,4.0,4.0,0.11338644619450253,1.0,12.0,800.0,checkpoints/mappo_g/latest
11,1,4.0,6.0,6.0,0.07189789832892227,1.0,10.0,800.0,checkpoints/mappo_g/latest
12,1,1.0,1.0,1.0,0.0396842174547055,0.0,11.0,800.0,checkpoints/mappo_g/latest
13,1,1.0,1.0,1.0,0.07248424174201014,0.0,11.0,800.0,checkpoints/mappo_g/latest
14,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
15,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
16,1,4.0,4.0,4.0,0.1384657093083418,1.0,12.0,800.0,checkpoints/mappo_g/latest
17,1,3.0,4.0,4.0,0.0942512937106585,1.0,12.0,800.0,checkpoints/mappo_g/latest
18,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
19,1,4.0,4.0,4.0,0.01994410656159744,1.0,12.0,800.0,checkpoints/mappo_g/latest
20,1,4.0,4.0,4.0,0.1609942304580424,1.0,12.0,800.0,checkpoints/mappo_g/latest
21,1,6.0,6.0,6.0,0.13121115034261796,1.0,10.0,800.0,checkpoints/mappo_g/latest
22,1,4.0,4.0,4.0,0.025409899269555655,1.0,12.0,800.0,checkpoints/mappo_g/latest
23,1,4.0,4.0,4.0,0.10778814845121815,1.0,12.0,800.0,checkpoints/mappo_g/latest
24,1,8.0,9.0,9.0,0.10226617304519701,2.0,11.0,800.0,checkpoints/mappo_g/latest
25,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
26,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
27,1,1.0,1.0,1.0,0.04793041886233065,0.0,11.0,800.0,checkpoints/mappo_g/latest
28,1,1.0,1.0,1.0,0.02831780547739375,0.0,11.0,800.0,checkpoints/mappo_g/latest
29,1,3.0,3.0,3.0,0.05313858509961089,0.0,9.0,800.0,checkpoints/mappo_g/latest
30,1,3.0,5.0,5.0,0.15490649126488887,1.0,11.0,800.0,checkpoints/mappo_g/latest
31,1,9.0,10.0,10.0,0.12119005209078751,2.0,10.0,800.0,checkpoints/mappo_g/latest
32,1,1.0,1.0,1.0,0.0353675795943127,0.0,11.0,800.0,checkpoints/mappo_g/latest
33,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
34,1,6.0,6.0,6.0,0.06233670526346638,1.0,10.0,800.0,checkpoints/mappo_g/latest
35,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
36,1,8.0,8.0,8.0,0.1422414391832596,2.0,12.0,800.0,checkpoints/mappo_g/latest
37,1,8.0,8.0,8.0,0.19818405766955646,2.0,12.0,800.0,checkpoints/mappo_g/latest
38,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
39,1,3.0,3.0,3.0,0.1153233978930075,0.0,9.0,800.0,checkpoints/mappo_g/latest
40,1,11.0,12.0,12.0,0.09209444679892234,3.0,12.0,800.0,checkpoints/mappo_g/latest
41,1,4.0,4.0,4.0,0.1157500124179205,1.0,12.0,800.0,checkpoints/mappo_g/latest
42,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
43,1,0.0,1.0,1.0,0.05871080228180896,0.0,11.0,800.0,checkpoints/mappo_g/latest
44,1,4.0,4.0,4.0,0.06514200578065356,1.0,12.0,800.0,checkpoints/mappo_g/latest
45,1,12.0,12.0,12.0,0.17127076414293094,3.0,12.0,800.0,checkpoints/mappo_g/latest
46,1,5.0,5.0,5.0,0.18605814567625203,1.0,11.0,800.0,checkpoints/mappo_g/latest
47,1,1.0,1.0,1.0,0.022630063742860026,0.0,11.0,800.0,checkpoints/mappo_g/latest
48,1,1.0,1.0,1.0,0.11660508433262294,0.0,11.0,800.0,checkpoints/mappo_g/latest
49,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
50,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
51,1,9.0,9.0,9.0,0.10617713523839484,2.0,11.0,800.0,checkpoints/mappo_g/latest
52,1,3.0,5.0,5.0,0.15752924176268912,1.0,11.0,800.0,checkpoints/mappo_g/latest
53,1,0.0,1.0,1.0,0.09644744947353803,0.0,11.0,800.0,checkpoints/mappo_g/latest
54,1,2.0,2.0,2.0,0.10146367346769694,0.0,10.0,800.0,checkpoints/mappo_g/latest
55,1,1.0,1.0,1.0,0.013302818382314095,0.0,11.0,800.0,checkpoints/mappo_g/latest
56,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
57,1,4.0,4.0,4.0,0.09085358932285698,1.0,12.0,800.0,checkpoints/mappo_g/latest
58,1,9.0,9.0,9.0,0.20146125576384896,2.0,11.0,800.0,checkpoints/mappo_g/latest
59,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
60,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
61,1,7.0,7.0,7.0,0.06175764090947875,1.0,9.0,800.0,checkpoints/mappo_g/latest
62,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
63,1,1.0,1.0,1.0,0.060609925920374126,0.0,11.0,800.0,checkpoints/mappo_g/latest
64,1,2.0,2.0,2.0,0.060852485839131984,0.0,10.0,800.0,checkpoints/mappo_g/latest
65,1,4.0,4.0,4.0,0.14381180747854766,1.0,12.0,800.0,checkpoints/mappo_g/latest
66,1,8.0,8.0,8.0,0.10535721070391446,2.0,12.0,800.0,checkpoints/mappo_g/latest
67,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
68,1,3.0,4.0,4.0,0.06748368755672952,1.0,12.0,800.0,checkpoints/mappo_g/latest
69,1,8.0,8.0,8.0,0.11038068527845706,2.0,12.0,800.0,checkpoints/mappo_g/latest
70,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
71,1,0.0,1.0,1.0,0.1470368902088133,0.0,11.0,800.0,checkpoints/mappo_g/latest
72,1,3.0,3.0,3.0,0.05855697281779916,0.0,9.0,800.0,checkpoints/mappo_g/latest
73,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
74,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
75,1,1.0,1.0,1.0,0.03111150774777343,0.0,11.0,800.0,checkpoints/mappo_g/latest
76,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
77,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
78,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
79,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
80,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
81,1,4.0,4.0,4.0,0.15476352135491955,1.0,12.0,800.0,checkpoints/mappo_g/latest
82,1,4.0,4.0,4.0,0.09862653024007159,1.0,12.0,800.0,checkpoints/mappo_g/latest
83,1,1.0,1.0,1.0,0.06721687105541302,0.0,11.0,800.0,checkpoints/mappo_g/latest
84,1,5.0,5.0,5.0,0.2350864665627887,1.0,11.0,800.0,checkpoints/mappo_g/latest
85,1,4.0,5.0,5.0,0.07855467153346883,1.0,11.0,800.0,checkpoints/mappo_g/latest
86,1,2.0,2.0,2.0,0.021988471631242037,0.0,10.0,800.0,checkpoints/mappo_g/latest
87,1,2.0,3.0,3.0,0.04396131712414595,0.0,9.0,800.0,checkpoints/mappo_g/latest
88,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
89,1,1.0,3.0,3.0,0.14269284731284038,0.0,9.0,800.0,checkpoints/mappo_g/latest
90,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
91,1,5.0,6.0,6.0,0.07674589112876372,1.0,10.0,800.0,checkpoints/mappo_g/latest
92,1,1.0,1.0,1.0,0.050919948810818225,0.0,11.0,800.0,checkpoints/mappo_g/latest
93,1,4.0,4.0,4.0,0.03990947182609186,1.0,12.0,800.0,checkpoints/mappo_g/latest
94,1,0.0,1.0,1.0,0.07257360608058662,0.0,11.0,800.0,checkpoints/mappo_g/latest
95,1,1.0,1.0,1.0,0.04547474805059513,0.0,11.0,800.0,checkpoints/mappo_g/latest
96,1,1.0,1.0,1.0,0.072567361397887,0.0,11.0,800.0,checkpoints/mappo_g/latest
97,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
98,1,1.0,1.0,1.0,0.039117351798449815,0.0,11.0,800.0,checkpoints/mappo_g/latest
99,1,2.0,3.0,3.0,0.06090739434228453,0.0,9.0,800.0,checkpoints/mappo_g/latest
100,1,3.0,6.0,6.0,0.21996869543353875,1.0,10.0,800.0,checkpoints/mappo_g/latest
101,1,1.0,1.0,1.0,0.022525997228003688,0.0,11.0,800.0,checkpoints/mappo_g/latest
102,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
103,1,0.0,1.0,1.0,0.059203069802752,0.0,11.0,800.0,checkpoints/mappo_g/latest
104,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
105,1,6.0,6.0,6.0,0.06360112796314449,1.0,10.0,800.0,checkpoints/mappo_g/latest
106,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
107,1,6.0,10.0,10.0,0.12446724213365087,1.0,6.0,800.0,checkpoints/mappo_g/latest
108,1,1.0,1.0,1.0,0.018208397358782047,0.0,11.0,800.0,checkpoints/mappo_g/latest
109,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
110,1,1.0,1.0,1.0,0.1806235307169967,0.0,11.0,800.0,checkpoints/mappo_g/latest
111,1,0.0,2.0,2.0,0.11234756725636544,0.0,10.0,800.0,checkpoints/mappo_g/latest
112,1,1.0,2.0,2.0,0.07812982478188739,0.0,10.0,800.0,checkpoints/mappo_g/latest
113,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
114,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
115,1,1.0,1.0,1.0,0.05394083889470494,0.0,11.0,800.0,checkpoints/mappo_g/latest
116,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
117,1,6.0,6.0,6.0,0.11079536996655104,1.0,10.0,800.0,checkpoints/mappo_g/latest
118,1,6.0,6.0,6.0,0.08749712298927381,1.0,10.0,800.0,checkpoints/mappo_g/latest
119,1,4.0,4.0,4.0,0.02906853538971821,1.0,12.0,800.0,checkpoints/mappo_g/latest
120,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
121,1,0.0,1.0,1.0,0.007004443622257288,0.0,11.0,800.0,checkpoints/mappo_g/latest
122,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
123,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
124,1,4.0,4.0,4.0,0.14079428442827824,1.0,12.0,800.0,checkpoints/mappo_g/latest
125,1,1.0,1.0,1.0,0.06326461505524397,0.0,11.0,800.0,checkpoints/mappo_g/latest
126,1,1.0,1.0,1.0,0.03418018262881863,0.0,11.0,800.0,checkpoints/mappo_g/latest
127,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
128,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
129,1,1.0,1.0,1.0,0.041664644647971726,0.0,11.0,800.0,checkpoints/mappo_g/latest
130,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
131,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
132,1,12.0,12.0,12.0,0.1504263754916125,3.0,12.0,800.0,checkpoints/mappo_g/latest
133,1,4.0,4.0,4.0,0.12504962081312743,1.0,12.0,800.0,checkpoints/mappo_g/latest
134,1,4.0,4.0,4.0,0.14532874297793263,1.0,12.0,800.0,checkpoints/mappo_g/latest
135,1,4.0,4.0,4.0,0.09894086179536922,1.0,12.0,800.0,checkpoints/mappo_g/latest
136,1,8.0,8.0,8.0,0.13133404812058871,2.0,12.0,800.0,checkpoints/mappo_g/latest
137,1,4.0,4.0,4.0,0.20769764655363057,1.0,12.0,800.0,checkpoints/mappo_g/latest
138,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
139,1,5.0,5.0,5.0,0.040365855029807184,1.0,11.0,800.0,checkpoints/mappo_g/latest
140,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
141,1,2.0,2.0,2.0,0.2513883318527708,0.0,10.0,800.0,checkpoints/mappo_g/latest
142,1,1.0,1.0,1.0,0.062462168336909,0.0,11.0,800.0,checkpoints/mappo_g/latest
143,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
144,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
145,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
146,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
147,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
148,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
149,1,4.0,5.0,5.0,0.16700852135817212,1.0,11.0,800.0,checkpoints/mappo_g/latest
150,1,3.0,5.0,5.0,0.1872395019743999,1.0,11.0,800.0,checkpoints/mappo_g/latest
151,1,1.0,1.0,1.0,0.0253773602259389,0.0,11.0,800.0,checkpoints/mappo_g/latest
152,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
153,1,1.0,1.0,1.0,0.03644636267369303,0.0,11.0,800.0,checkpoints/mappo_g/latest
154,1,4.0,4.0,4.0,0.07882298707487886,1.0,12.0,800.0,checkpoints/mappo_g/latest
155,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
156,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
157,1,1.0,1.0,1.0,0.047816766311298116,0.0,11.0,800.0,checkpoints/mappo_g/latest
158,1,4.0,4.0,4.0,0.0587754186513242,1.0,12.0,800.0,checkpoints/mappo_g/latest
159,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
160,1,2.0,2.0,2.0,0.07583066347491695,0.0,10.0,800.0,checkpoints/mappo_g/latest
161,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
162,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
163,1,3.0,3.0,3.0,0.2325978369392154,0.0,9.0,800.0,checkpoints/mappo_g/latest
164,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
165,1,1.0,1.0,1.0,0.029665987475552057,0.0,11.0,800.0,checkpoints/mappo_g/latest
166,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
167,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
168,1,1.0,1.0,1.0,0.07876587441807109,0.0,11.0,800.0,checkpoints/mappo_g/latest
169,1,3.0,3.0,3.0,0.09029317253790094,0.0,9.0,800.0,checkpoints/mappo_g/latest
170,1,0.0,2.0,2.0,0.08040709361014403,0.0,10.0,800.0,checkpoints/mappo_g/latest
171,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
172,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
173,1,1.0,1.0,1.0,0.02500860095708049,0.0,11.0,800.0,checkpoints/mappo_g/latest
174,1,1.0,1.0,1.0,0.013311625428468688,0.0,11.0,800.0,checkpoints/mappo_g/latest
175,1,0.0,0.0,0.0,0.0,0.0,12.0,800.0,checkpoints/mappo_g/latest
176,1,5.0,5.0,5.0,0.12460340128420892,1.0,11.0,800.0,checkpoints/mappo_g/latest
177,1,4.0,4.0,4.0,0.12977498846867092,1.0,12.0,800.0,checkpoints/mappo_g/latest
178,1,4.0,5.0,5.0,0.17067507490936498,1.0,11.0,800.0,checkpoints/mappo_g/latest
179,1,4.0,4.0,4.0,0.052127873344191666,1.0,12.0,800.0,checkpoints/mappo_g/latest
180,1,1.0,1.0,1.0,0.06155384876554308,0.0,11.0,800.0,checkpoints/mappo_g/latest
181,1,4.0,4.0,4.0,0.08918146572490514,1.0,12.0,800.0,checkpoints/mappo_g/latest
