episode,global_step,epsilon,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,food_delivered,exploration_coverage,coverage_reward_total,pheromone_usage,pheromone_deposit_events,episode_length,collisions,reward_step_component,reward_pickup_component,reward_delivery_component,reward_collision_component,reward_exploration_component,reward_new_cell_component,reward_food_approach_component,reward_food_detected_component,reward_pheromone_follow_component,reward_pheromone_usage_component,reward_pheromone_deposit_component,reward_pheromone_component,swarm_efficiency
1,600,0.92886875,-50.87398910522461,3,3,0,0,0.1508097165991903,2.860000000000002,0.5353093462730774,1761,600,1983,-287.9999999999988,24.0,0.0,-396.60000000000184,2.860000000000002,2.860000000000002,0.6980255584716799,0.2,1.3953086004406212,385.42272931661546,-35.21999999999979,351.5980379170563,0.0
2,1200,0.85761875,-53.70333480834961,1,1,0,0,0.15182186234817813,2.880000000000002,0.5521102828605783,1683,600,2055,-287.9999999999988,8.0,0.0,-411.0000000000004,2.880000000000002,2.880000000000002,0.677681173960368,0.3,1.0629360657837241,397.51940365961656,-33.65999999999973,364.92233972540055,0.0
3,1800,0.7863687500000001,-60.88307189941406,1,1,0,0,0.15890688259109312,3.020000000000002,0.5691307873381608,1627,600,2337,-287.9999999999988,8.0,0.0,-467.39999999999816,3.020000000000002,3.020000000000002,0.5610309893290203,0.2,1.0864242725400257,409.77416688347614,-32.539999999999694,378.32059115601646,0.0
4,2400,0.71511875,-73.8299789428711,1,1,0,0,0.0860323886639676,1.580000000000001,0.6535230764105573,1696,600,3009,-287.9999999999988,8.0,0.0,-601.7999999999998,1.580000000000001,1.580000000000001,0.1467139383951823,0.0,0.47682301654480413,470.5366150156011,-33.91999999999972,437.0934380321462,0.0
5,3000,0.64386875,-78.1100082397461,0,0,0,0,0.08704453441295547,1.600000000000001,0.6519964669219431,1527,600,3109,-287.9999999999988,0.0,0.0,-621.8000000000006,1.600000000000001,1.600000000000001,0.022231384277343752,0.05,0.5702201689593493,469.4374561837992,-30.53999999999971,439.4676763527588,0.0
6,3600,0.57261875,-56.1440315246582,2,2,0,0,0.20242914979757085,3.880000000000003,0.48934303320264405,1525,600,1967,-287.9999999999988,16.0,0.0,-393.4000000000033,3.880000000000003,3.880000000000003,1.389051572163899,0.3,1.1397867924347513,352.3269839059038,-30.49999999999973,322.9667706983388,0.0
7,4200,0.50136875,-77.4378433227539,0,0,0,0,0.10222672064777327,1.9000000000000012,0.5878877280323245,1550,600,2859,-287.9999999999988,0.0,0.0,-571.8000000000013,1.9000000000000012,1.9000000000000012,0.40315432866414386,0.15000000000000002,0.4405036596581339,423.27916418327356,-30.999999999999698,392.719667842932,0.0
8,4800,0.43011875,-84.19294738769531,0,0,0,0,0.12550607287449392,2.3600000000000017,0.5572261833924776,1465,600,2962,-287.9999999999988,0.0,0.0,-592.3999999999994,2.3600000000000017,2.3600000000000017,0.37284539031982433,0.1,0.5064964157715439,401.20285204258397,-29.299999999999695,372.40934845835585,0.0
9,5400,0.35886875000000007,-87.483642578125,0,0,0,0,0.058704453441295545,1.0400000000000005,0.5992630352645453,1601,600,3190,-287.9999999999988,0.0,0.0,-638.0000000000013,1.0400000000000005,1.0400000000000005,0.3020677045186361,0.1,0.2066906480491161,431.46938539047244,-32.019999999999705,399.65607603852186,0.0
10,6000,0.28761875000000003,-68.2514419555664,2,2,0,0,0.1548582995951417,2.940000000000002,0.4846161155831861,1491,600,2309,-287.9999999999988,16.0,0.0,-461.7999999999995,2.940000000000002,2.940000000000002,1.0677657686869304,0.35,0.830068230656907,348.92360321989383,-29.819999999999695,319.93367145055106,0.0
