episode,global_step,epsilon,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,food_delivered,exploration_coverage,coverage_reward_total,pheromone_usage,pheromone_deposit_events,episode_length,collisions,reward_step_component,reward_pickup_component,reward_delivery_component,reward_collision_component,reward_exploration_component,reward_new_cell_component,reward_food_approach_component,reward_food_detected_component,reward_pheromone_follow_component,reward_pheromone_usage_component,reward_pheromone_deposit_component,reward_pheromone_component,swarm_efficiency
1,600,0.9943095,-696.1087036132812,0,0,0,0,0.06578947368421052,1.1800000000000006,0.6598586596600702,1815,600,2759,-35.99999999999985,0.0,0.0,-4138.5,1.1800000000000006,1.1800000000000006,-0.1330341110229491,0.15000000000000002,0.29204384118318555,0.0,-3.6299999999999697,-3.3379561588167843,0.0
2,1200,0.9886095,-538.8340454101562,0,0,0,0,0.12044534412955465,2.2600000000000016,0.5637209719991045,1737,600,2131,-35.99999999999985,0.0,0.0,-3196.5,2.2600000000000016,2.2600000000000016,-0.06406991577148442,0.1,0.6800333529151975,0.0,-3.473999999999975,-2.7939666470847775,0.0
3,1800,0.9829095,-509.1358642578125,0,0,0,0,0.15587044534412955,2.960000000000002,0.5579450957104161,1800,600,2013,-35.99999999999985,0.0,0.0,-3019.5,2.960000000000002,2.960000000000002,0.08289153035481779,0.25,0.9998169827973468,0.0,-3.5999999999999734,-2.600183017202627,0.0
4,2400,0.9772095,-474.9240417480469,0,0,0,0,0.12854251012145748,2.4200000000000017,0.5536945235580142,1771,600,1876,-35.99999999999985,0.0,0.0,-2814.0,2.4200000000000017,2.4200000000000017,-0.012597320556640559,0.7000000000000001,0.8964686140883711,0.0,-3.541999999999975,-2.645531385911604,0.0
5,3000,0.9715095,-500.9560546875,0,0,0,0,0.15182186234817813,2.880000000000002,0.5657111333004204,1754,600,1980,-35.99999999999985,0.0,0.0,-2970.0,2.880000000000002,2.880000000000002,-0.17350529988606767,0.1,0.9712675758171827,0.0,-3.507999999999973,-2.53673242418279,0.0
6,3600,0.9658095,-358.883544921875,0,0,0,0,0.15384615384615385,2.920000000000002,0.510887097946551,1755,600,1412,-35.99999999999985,0.0,0.0,-2118.0,2.920000000000002,2.920000000000002,-0.17746589533487953,0.3,1.1678104604221884,0.0,-3.5099999999999727,-2.3421895395777845,0.0
7,4200,0.9601095,-304.8899230957031,0,0,0,0,0.18016194331983806,3.4400000000000026,0.461034455000667,1766,600,1197,-35.99999999999985,0.0,0.0,-1795.5,3.4400000000000026,3.4400000000000026,0.04054126993815108,0.65,1.5648409844096747,0.0,-3.531999999999975,-1.9671590155903005,0.0
8,4800,0.9544095,-514.361572265625,0,0,0,0,0.10728744939271255,2.0000000000000013,0.5809010906954548,1734,600,2033,-35.99999999999985,0.0,0.0,-3049.5,2.0000000000000013,2.0000000000000013,-0.15686312357584625,0.2,0.7638266559038311,0.0,-3.4679999999999738,-2.7041733440961426,0.0
9,5400,0.9487095,-591.349365234375,0,0,0,0,0.0951417004048583,1.7600000000000011,0.6051722856834143,1716,600,2341,-35.99999999999985,0.0,0.0,-3511.5,1.7600000000000011,1.7600000000000011,0.14354425048828118,0.15000000000000002,0.7923915266990665,0.0,-3.431999999999975,-2.6396084733009086,0.0
10,6000,0.9430095000000001,-361.37548828125,0,0,0,0,0.15890688259109312,3.0200000000000022,0.49130698202190826,1684,600,1422,-35.99999999999985,0.0,0.0,-2133.0,3.0200000000000022,3.0200000000000022,-0.10399816894531248,0.2,1.004467532671988,0.0,-3.367999999999975,-2.363532467327987,0.0
