family,condition,seed,n_agents,max_steps,active_targets,food_source_capacity,n_obstacles,pheromone_enabled,checkpoint_dir,food_picked_up,food_delivered,delivery_conversion,early_deliveries,late_deliveries,late_delivery_fraction,post_discovery_deliveries,time_to_first_discovery,time_to_first_delivery,pickup_to_delivery_latency,exploration_coverage,pheromone_usage,episode_length
complex_environment_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,100,1,1400,1,15,24,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.011016949152542373,0.0,1400
complex_environment_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,101,1,1400,1,15,24,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.04533898305084746,0.0,1400
complex_environment_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,102,1,1400,1,15,24,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.04957627118644068,0.0,1400
complex_environment_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,103,1,1400,1,15,24,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.03516949152542373,0.0,1400
complex_environment_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,104,1,1400,1,15,24,True,checkpoints/mappo_g/latest,1,1,1.0,0,1,1.0,1,462,553,91.0,0.09703389830508474,0.019642662964428643,1400
complex_environment_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,105,1,1400,1,15,24,True,checkpoints/mappo_g/latest,2,2,1.0,1,1,0.5,2,349,411,62.0,0.09533898305084745,0.04850373885752301,1400
complex_environment_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,106,1,1400,1,15,24,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.07203389830508475,0.0,1400
complex_environment_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,107,1,1400,1,15,24,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.026271186440677965,0.0,1400
complex_environment_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,108,1,1400,1,15,24,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.08177966101694915,0.0,1400
complex_environment_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,109,1,1400,1,15,24,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.04449152542372881,0.0,1400
complex_environment_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,110,1,1400,1,15,24,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.04406779661016949,0.0,1400
complex_environment_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,111,1,1400,1,15,24,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.05254237288135593,0.0,1400
complex_environment_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,112,1,1400,1,15,24,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.048305084745762714,0.0,1400
