stage,stage_index,stage_attempt,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,delivery_conversion,swarm_efficiency
stage1c_single_agent_small,3,1,2819,30,1,100,100,1,0,19.730684280395508,3.0,3.0,0.0,0.4,0.0,0,0,1,140,54,-1,-1,0.0,0.0
stage1c_single_agent_small,3,1,2959,31,1,100,100,1,0,13.848934173583984,2.0,2.0,0.0,0.32,0.0,0,0,2,140,77,-1,-1,0.0,0.0
stage1c_single_agent_small,3,1,3097,32,1,100,100,1,0,25.463308334350586,4.0,4.0,0.0,0.24,0.0,0,0,0,138,53,-1,-1,0.0,0.0
stage1c_single_agent_small,3,1,3237,33,1,100,100,1,0,-4.511537551879883,0.0,0.0,0.0,0.32,0.0,0,0,4,140,-1,-1,-1,0.0,0.0
stage1c_single_agent_small,3,1,3377,34,1,100,100,1,0,10.168159484863281,2.0,2.0,0.0,0.16,0.0,0,0,2,140,81,-1,-1,0.0,0.0
stage1c_single_agent_small,3,1,3387,35,1,100,100,1,0,31.890565872192383,4.0,4.0,0.0,0.08,0.0,0,0,0,10,6,-1,-1,0.0,0.0
stage1d_single_agent_return_medium,4,1,3690,36,1,160,120,1,0,-5.6023969650268555,0.0,0.0,0.0,0.19047619047619047,0.0,0,0,4,180,-1,-1,-1,0.0,0.0
stage1d_single_agent_return_medium,4,1,3870,37,1,160,120,1,0,-3.7242517471313477,0.0,0.0,0.0,0.47619047619047616,0.0,0,0,4,180,-1,-1,-1,0.0,0.0
stage1d_single_agent_return_medium,4,1,4050,38,1,160,120,1,0,-3.535733222961426,0.0,0.0,0.0,0.2857142857142857,0.0,0,0,4,180,-1,-1,-1,0.0,0.0
stage1d_single_agent_return_medium,4,1,4230,39,1,160,120,1,0,-3.804029703140259,0.0,0.0,0.0,0.35714285714285715,0.0,0,0,4,180,-1,-1,-1,0.0,0.0
stage1d_single_agent_return_medium,4,1,4410,40,1,160,120,1,0,-4.99987268447876,0.0,0.0,0.0,0.2857142857142857,0.0,0,0,4,180,-1,-1,-1,0.0,0.0
stage1d_single_agent_return_medium,4,1,4590,41,1,160,120,1,0,-5.004729747772217,0.0,0.0,0.0,0.21428571428571427,0.0,0,0,4,180,-1,-1,-1,0.0,0.0
stage1d_single_agent_return_medium,4,1,4618,42,1,160,120,1,0,26.50327491760254,4.0,4.0,0.0,0.14285714285714285,0.0,0,0,0,28,24,-1,-1,0.0,0.0
stage1d_single_agent_return_medium,4,1,4798,43,1,160,120,1,0,4.320626735687256,1.0,1.0,0.0,0.35714285714285715,0.0,0,0,3,180,59,-1,-1,0.0,0.0
stage1d_single_agent_return_medium,4,1,4978,44,1,160,120,1,0,-2.858147144317627,0.0,0.0,0.0,0.2619047619047619,0.0,0,0,4,180,-1,-1,-1,0.0,0.0
stage1d_single_agent_return_medium,4,1,5158,45,1,160,120,1,0,-4.842155456542969,0.0,0.0,0.0,0.2857142857142857,0.0,0,0,4,180,-1,-1,-1,0.0,0.0
stage1d_single_agent_return_medium,4,1,5170,46,1,160,120,1,0,27.835521697998047,4.0,4.0,0.0,0.07142857142857142,0.0,0,0,0,12,8,-1,-1,0.0,0.0
stage1d_single_agent_return_medium,4,1,5350,47,1,160,120,1,0,-5.801741123199463,0.0,0.0,0.0,0.16666666666666666,0.0,0,0,4,180,-1,-1,-1,0.0,0.0
stage1d_single_agent_return_medium,4,1,5530,48,1,160,120,1,0,-1.9936705827713013,0.0,0.0,0.0,0.35714285714285715,0.0,0,0,4,180,-1,-1,-1,0.0,0.0
stage1d_single_agent_return_medium,4,1,5710,49,1,160,120,1,0,-2.3635149002075195,0.0,0.0,0.0,0.19047619047619047,0.0,0,0,4,180,-1,-1,-1,0.0,0.0
stage1d_single_agent_return_medium,4,1,5823,50,1,160,120,1,0,26.61932373046875,4.0,4.0,0.0,0.21428571428571427,0.0,0,0,0,113,109,-1,-1,0.0,0.0
