family,condition,seed,n_agents,max_steps,active_targets,food_source_capacity,pheromone_enabled,checkpoint_dir,food_picked_up,food_delivered,delivery_conversion,early_deliveries,late_deliveries,late_delivery_fraction,post_discovery_deliveries,time_to_first_discovery,time_to_first_delivery,pickup_to_delivery_latency,exploration_coverage,pheromone_usage,episode_length
focused_pheromone_ablation,trained_with_pheromone__eval_with_pheromone,100,1,1200,1,12,True,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.04554655870445344,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_without_pheromone,100,1,1200,1,12,False,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.04554655870445344,0.0,1200
focused_pheromone_ablation,trained_without_pheromone__eval_without_pheromone,100,1,1200,1,12,False,checkpoints/mappo_gru_no_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.0010121457489878543,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_with_pheromone,101,1,1200,1,12,True,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.07995951417004049,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_without_pheromone,101,1,1200,1,12,False,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.07995951417004049,0.0,1200
focused_pheromone_ablation,trained_without_pheromone__eval_without_pheromone,101,1,1200,1,12,False,checkpoints/mappo_gru_no_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.004048582995951417,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_with_pheromone,102,1,1200,1,12,True,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.029352226720647773,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_without_pheromone,102,1,1200,1,12,False,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.029352226720647773,0.0,1200
focused_pheromone_ablation,trained_without_pheromone__eval_without_pheromone,102,1,1200,1,12,False,checkpoints/mappo_gru_no_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.0020242914979757085,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_with_pheromone,103,1,1200,1,12,True,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.01417004048582996,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_without_pheromone,103,1,1200,1,12,False,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.01417004048582996,0.0,1200
focused_pheromone_ablation,trained_without_pheromone__eval_without_pheromone,103,1,1200,1,12,False,checkpoints/mappo_gru_no_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.0010121457489878543,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_with_pheromone,104,1,1200,1,12,True,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.020242914979757085,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_without_pheromone,104,1,1200,1,12,False,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.020242914979757085,0.0,1200
focused_pheromone_ablation,trained_without_pheromone__eval_without_pheromone,104,1,1200,1,12,False,checkpoints/mappo_gru_no_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.0010121457489878543,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_with_pheromone,105,1,1200,1,12,True,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.012145748987854251,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_without_pheromone,105,1,1200,1,12,False,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.012145748987854251,0.0,1200
focused_pheromone_ablation,trained_without_pheromone__eval_without_pheromone,105,1,1200,1,12,False,checkpoints/mappo_gru_no_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.0020242914979757085,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_with_pheromone,106,1,1200,1,12,True,checkpoints/mappo_gru_pheromone/stage3_full_marl,1,1,1.0,1,0,0.0,1,329,372,43.0,0.09008097165991903,0.006786674320853005,1200
focused_pheromone_ablation,trained_with_pheromone__eval_without_pheromone,106,1,1200,1,12,False,checkpoints/mappo_gru_pheromone/stage3_full_marl,2,2,1.0,1,1,0.5,2,329,372,43.0,0.08906882591093117,0.0,1200
focused_pheromone_ablation,trained_without_pheromone__eval_without_pheromone,106,1,1200,1,12,False,checkpoints/mappo_gru_no_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.0010121457489878543,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_with_pheromone,107,1,1200,1,12,True,checkpoints/mappo_gru_pheromone/stage3_full_marl,2,1,0.5,0,1,1.0,1,206,843,637.0,0.08502024291497975,0.22085003717724855,1200
focused_pheromone_ablation,trained_with_pheromone__eval_without_pheromone,107,1,1200,1,12,False,checkpoints/mappo_gru_pheromone/stage3_full_marl,1,1,1.0,0,1,1.0,1,206,617,411.0,0.08198380566801619,0.0,1200
focused_pheromone_ablation,trained_without_pheromone__eval_without_pheromone,107,1,1200,1,12,False,checkpoints/mappo_gru_no_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.0010121457489878543,0.0,1200
