family,condition,n_agents,width,height,n_obstacles,pheromone_enabled,n,mean_episode_reward_mean,mean_episode_reward_std,mean_episode_reward_ci95,food_picked_up_mean,food_picked_up_std,food_picked_up_ci95,food_delivered_mean,food_delivered_std,food_delivered_ci95,delivery_conversion_mean,delivery_conversion_std,delivery_conversion_ci95,exploration_coverage_mean,exploration_coverage_std,exploration_coverage_ci95,pheromone_usage_mean,pheromone_usage_std,pheromone_usage_ci95,episode_length_mean,episode_length_std,episode_length_ci95,time_to_first_discovery_mean,time_to_first_discovery_std,time_to_first_discovery_ci95,carrying_stall_fraction_mean,carrying_stall_fraction_std,carrying_stall_fraction_ci95,carrying_low_progress_fraction_mean,carrying_low_progress_fraction_std,carrying_low_progress_fraction_ci95,non_carrying_nest_loiter_fraction_mean,non_carrying_nest_loiter_fraction_std,non_carrying_nest_loiter_fraction_ci95,non_carrying_nest_crowding_fraction_mean,non_carrying_nest_crowding_fraction_std,non_carrying_nest_crowding_fraction_ci95,non_carrying_explore_active_fraction_mean,non_carrying_explore_active_fraction_std,non_carrying_explore_active_fraction_ci95,non_carrying_force_explore_fraction_mean,non_carrying_force_explore_fraction_std,non_carrying_force_explore_fraction_ci95,non_carrying_random_explore_fraction_mean,non_carrying_random_explore_fraction_std,non_carrying_random_explore_fraction_ci95
curriculum_vs_weaker_training,current_curriculum_final,6,1400,950,18,True,8,-383.6714725494385,152.11280947585675,105.40879910400132,4.125,1.4577379737113252,1.0101608782763267,3.875,1.5526475085202969,1.0759298304257576,0.9375,0.11572751247156893,0.08019507466172719,0.23908898305084747,0.034197941754686136,0.023697964587013922,0.024072995480449513,0.014843009924712835,0.010285681111563997,800.0,0.0,0.0,132.0,83.14874795037076,57.61914265242064,0.08859375,0.0479044692032263,0.03319610352228857,0.30328125,0.11408396324480867,0.07905615315434023,0.73703125,0.5442999835552214,0.3771806451841908,0.7259374999999999,0.4740110711109123,0.3284729138852243,4.12484375,0.470877049039874,0.3263011473915812,1.591875,0.4000814649186195,0.27724231053358356,5.434218749999999,0.17004586763051396,0.11783577439200073
curriculum_vs_weaker_training,older_weaker_curriculum_final,6,1400,950,18,True,8,-146.4552173614502,88.19250439978086,61.11428755269128,2.125,1.1259916264596033,0.7802723883362783,0.0,0.0,0.0,0.0,0.0,0.0,0.14740466101694916,0.021879039414460403,0.015161400793096446,0.08054780086760426,0.046621041211665507,0.03230673329901125,800.0,0.0,0.0,239.125,232.5206212053337,161.12856985959996,0.6153124999999999,0.38597149575546935,0.26746460075353895,1.0310937500000001,0.67422787766955,0.46721608227784966,0.13859375000000002,0.3485905533486651,0.2415609292478038,0.08593750000000001,0.21761260426665155,0.15079784118564163,1.9376562499999999,0.9289535292996168,0.6437319531754364,0.44156249999999997,0.43780996672561684,0.3033868284158856,4.758437499999999,0.8174778147928978,0.5664832241834262
pheromone_ablation,trained_with_pheromone_eval_with_pheromone,6,1400,950,18,True,8,-383.6714725494385,152.11280947585675,105.40879910400132,4.125,1.4577379737113252,1.0101608782763267,3.875,1.5526475085202969,1.0759298304257576,0.9375,0.11572751247156893,0.08019507466172719,0.23908898305084747,0.034197941754686136,0.023697964587013922,0.024072995480449513,0.014843009924712835,0.010285681111563997,800.0,0.0,0.0,132.0,83.14874795037076,57.61914265242064,0.08859375,0.0479044692032263,0.03319610352228857,0.30328125,0.11408396324480867,0.07905615315434023,0.73703125,0.5442999835552214,0.3771806451841908,0.7259374999999999,0.4740110711109123,0.3284729138852243,4.12484375,0.470877049039874,0.3263011473915812,1.591875,0.4000814649186195,0.27724231053358356,5.434218749999999,0.17004586763051396,0.11783577439200073
pheromone_ablation,trained_with_pheromone_eval_without_pheromone,6,1400,950,18,False,8,-479.1284523010254,183.03145244060144,126.83432556734888,3.75,1.164964745021435,0.8072793816269557,3.25,1.164964745021435,0.8072793816269557,0.88125,0.18504343119541267,0.12822855571205657,0.23326271186440678,0.0224878730947998,0.01558330100859954,0.0,0.0,0.0,800.0,0.0,0.0,117.0,84.8831129091226,58.820996251338684,0.07,0.06939470440891006,0.04808807674465678,0.245,0.10550473923004595,0.07311105422574618,0.94875,0.5654754636586807,0.391854504248707,0.9984375,0.5797762614947745,0.4017644515524612,4.295,0.5037360419902471,0.34907126779498765,1.794375,0.3266332587387355,0.22634530037091558,5.5309375,0.1646936414550189,0.11412687087732677
swarm_size_scaling,1_agents,1,1400,950,18,True,8,-324.1455135345459,440.58425118984337,305.3093094663287,1.0,0.9258200997725514,0.6415605972938175,0.625,1.0606601717798212,0.7349999999999998,0.375,0.5175491695067657,0.35864327680858593,0.05365466101694915,0.019293043409150355,0.01336939698784991,0.03378340967413351,0.0308008287606615,0.0213438853851728,800.0,0.0,0.0,218.375,169.63906010788233,117.55387116126802,0.1759375,0.24249516747762212,0.16804057778182624,0.2253125,0.2518979296546236,0.17455635954112353,0.06375,0.0999910710299389,0.06929027709570802,0.0,0.0,0.0,0.54625,0.3258793050019768,0.22582283708695183,0.25921875,0.24145664493637062,0.1673209183771189,0.7178125,0.26986252287044227,0.1870051875116035
swarm_size_scaling,2_agents,2,1400,950,18,True,8,-215.11004543304443,68.54123760246989,47.496654421632336,1.125,0.9910312089651149,0.6867495904622004,0.875,0.8345229603962802,0.5782949074650406,0.5,0.4629100498862757,0.32078029864690877,0.11048728813559322,0.029894231890794997,0.0207156458065774,0.027127732212998124,0.029568118119991178,0.020489660492979178,800.0,0.0,0.0,186.125,163.5913353451215,113.36301171457998,0.07859374999999999,0.11747043226002507,0.08140285645517913,0.1690625,0.22089484206291463,0.15307231593678197,0.11890625000000002,0.11087806506473677,0.07683457905827623,0.0446875,0.06744624182053649,0.04673786105771208,1.2785937500000002,0.46123545152239914,0.31961986118522495,0.38031250000000005,0.15116179541424196,0.10474977998186916,1.729375,0.3296467264902145,0.2284335269832342
swarm_size_scaling,3_agents,3,1400,950,18,True,8,-298.256254196167,162.4268948071042,112.55609558987383,1.875,1.4577379737113252,1.0101608782763267,1.5,1.1952286093343936,0.8282511696339461,0.6145833333333333,0.42007534282649067,0.29109736105143774,0.15227754237288132,0.024785095838121073,0.01717519515270401,0.021266381137120333,0.021118055996691806,0.014634066188723248,800.0,0.0,0.0,139.25,133.07328807841188,92.21508390713525,0.06328125,0.0622564450909072,0.04314151540642146,0.1675,0.14502924581910073,0.10050013992527573,0.33968750000000003,0.4336410165678518,0.30049789334744087,0.21203124999999998,0.3088298317121536,0.2140081548716368,1.9825,0.669154250314743,0.463700237896208,0.72359375,0.3974570043570751,0.27542365215075937,2.70078125,0.2616064191238161,0.18128399950509286
swarm_size_scaling,4_agents,4,1400,950,18,True,8,-329.03296661376953,108.2009498284794,74.97943284745232,2.625,1.407885953173359,0.9756151905336448,2.25,1.6690459207925603,1.1565898149300813,0.7708333333333333,0.36663960939129747,0.25406828697112993,0.18045550847457625,0.030581058984094467,0.02119159269984861,0.015793539222268012,0.009708741807996066,0.006727814825838892,800.0,0.0,0.0,322.5,208.55146675512566,144.51879324157116,0.054843750000000004,0.05112763047721149,0.03542964033210752,0.18375,0.10454621329481864,0.07244682964077861,0.5084375,0.43832205931092655,0.30374169047276006,0.365,0.2934272543091875,0.20333471328083655,2.74359375,0.3535025241751666,0.24496475137060528,1.0996875,0.3856793345606462,0.2672621433747211,3.6578125,0.17362309085652014,0.12031466361690916
swarm_size_scaling,6_agents,6,1400,950,18,True,8,-383.6714725494385,152.11280947585675,105.40879910400132,4.125,1.4577379737113252,1.0101608782763267,3.875,1.5526475085202969,1.0759298304257576,0.9375,0.11572751247156893,0.08019507466172719,0.23908898305084747,0.034197941754686136,0.023697964587013922,0.024072995480449513,0.014843009924712835,0.010285681111563997,800.0,0.0,0.0,132.0,83.14874795037076,57.61914265242064,0.08859375,0.0479044692032263,0.03319610352228857,0.30328125,0.11408396324480867,0.07905615315434023,0.73703125,0.5442999835552214,0.3771806451841908,0.7259374999999999,0.4740110711109123,0.3284729138852243,4.12484375,0.470877049039874,0.3263011473915812,1.591875,0.4000814649186195,0.27724231053358356,5.434218749999999,0.17004586763051396,0.11783577439200073
swarm_size_scaling,10_agents,10,1400,950,18,True,8,-542.7610416412354,236.03399392660253,163.56321294212412,4.75,1.8322507626258087,1.2696850003051938,4.375,1.5979898086569353,1.1073504413689461,0.9270833333333333,0.13684004681634107,0.094825314540885,0.31260593220338984,0.037429397566504964,0.02593724921830286,0.018124172574403928,0.009754727926810675,0.006759681580364067,800.0,0.0,0.0,188.5,147.55725281104571,102.25195939442919,0.13765625,0.1086882778457338,0.07531713393420185,0.40671875,0.224131197129685,0.15531499557854192,1.09921875,0.6608476488233556,0.45794405673789723,1.60125,0.7709461950838631,0.5342384568242912,7.151562500000001,0.8125524021563164,0.5630700873614669,2.84953125,0.6421041503956794,0.4449554749933554,9.264375000000001,0.35670491005471555,0.2471838915665823
