episode,global_step,epsilon,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,food_delivered,exploration_coverage,coverage_reward_total,pheromone_usage,pheromone_deposit_events,episode_length,collisions,reward_step_component,reward_pickup_component,reward_delivery_component,reward_collision_component,reward_exploration_component,reward_new_cell_component,reward_food_approach_component,reward_food_detected_component,reward_pheromone_follow_component,reward_pheromone_usage_component,reward_pheromone_deposit_component,reward_pheromone_component,swarm_efficiency
1,600,0.9952579166666666,-223.09228515625,2,2,0,0,0.2074898785425101,3.980000000000003,0.48415846378039634,1820,600,1319,-35.99999999999985,20.0,0.0,-1319.0,3.980000000000003,3.980000000000003,0.027786604563395254,0.49999999999999994,1.0422480663657185,0.0,-9.099999999999952,-8.057751933634233,0.0
2,1200,0.9905079166666667,-314.9106140136719,0,0,0,0,0.12651821862348178,2.3800000000000012,0.5511265330131331,1848,600,1848,-35.99999999999985,0.0,0.0,-1848.0,2.3800000000000012,2.3800000000000012,-0.09565593465169271,0.2,1.2983806443773205,0.0,-9.239999999999943,-7.941619355622623,0.0
3,1800,0.9857579166666667,-272.9441833496094,1,1,0,0,0.18421052631578946,3.5200000000000022,0.5174271119955747,1802,600,1608,-35.99999999999985,10.0,0.0,-1608.0,3.5200000000000022,3.5200000000000022,0.2957182591756182,0.44999999999999996,1.0840300703421237,0.0,-9.009999999999938,-7.925969929657814,0.0
4,2400,0.9810079166666666,-366.4587097167969,2,2,0,0,0.12955465587044535,2.4400000000000017,0.5760503050289684,1766,600,2178,-35.99999999999985,20.0,0.0,-2178.0,2.4400000000000017,2.4400000000000017,0.22152719624837247,0.6,0.8239167943596837,0.0,-8.829999999999947,-8.006083205640262,0.0
5,3000,0.9762579166666667,-459.9794616699219,1,1,0,0,0.12854251012145748,2.4200000000000017,0.643106913347955,1768,600,2728,-35.99999999999985,10.0,0.0,-2728.0,2.4200000000000017,2.4200000000000017,0.07898417536417639,0.1,0.3766221382375807,0.0,-8.83999999999994,-8.463377861762359,0.0
6,3600,0.9715079166666667,-475.3756103515625,0,0,0,0,0.07186234817813765,1.3000000000000007,0.6614559467662912,1821,600,2809,-35.99999999999985,0.0,0.0,-2809.0,1.3000000000000007,1.3000000000000007,-0.06971112442016593,0.15000000000000002,0.48463003244250996,0.0,-9.104999999999942,-8.620369967557432,0.0
7,4200,0.9667579166666667,-217.035400390625,0,0,0,0,0.21963562753036436,4.219999999999998,0.45394413520164867,1906,600,1263,-35.99999999999985,0.0,0.0,-1263.0,4.219999999999998,4.219999999999998,0.015979431152343754,0.44999999999999996,1.6349507142556827,0.0,-9.529999999999966,-7.895049285744283,0.0
8,4800,0.9620079166666666,-319.3875427246094,1,1,0,0,0.152834008097166,2.900000000000002,0.5547358796294752,1870,600,1885,-35.99999999999985,10.0,0.0,-1885.0,2.900000000000002,2.900000000000002,0.03702863820393882,0.15000000000000002,0.9431835014512762,0.0,-9.349999999999948,-8.406816498548672,0.0
9,5400,0.9572579166666667,-459.4043884277344,0,0,0,0,0.10728744939271255,2.000000000000001,0.5600885663465791,1866,600,2714,-35.99999999999985,0.0,0.0,-2714.0,2.000000000000001,2.000000000000001,0.13482329305013002,0.25,0.5317852368950844,0.0,-9.329999999999943,-8.798214763104859,0.0
10,6000,0.9525079166666667,-304.4591979980469,0,0,0,0,0.1771255060728745,3.3800000000000026,0.5226722808314419,1857,600,1786,-35.99999999999985,0.0,0.0,-1786.0,3.3800000000000026,3.3800000000000026,0.01907139078776045,0.3,0.8363489651447163,0.0,-9.284999999999952,-8.448651034855235,0.0
