stage,stage_index,global_step,episode,n_agents,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,episode_length,swarm_efficiency
stage1_single_agent,1,26400,44,1,-762.0618896484375,0.0,0.0,0.0,0.03340080971659919,0.8488022693246603,600,0.0
stage1_single_agent,1,27000,45,1,-881.9622802734375,0.0,0.0,0.0,0.0020242914979757085,0.9787222592035929,600,0.0
stage1_single_agent,1,27600,46,1,-624.9224243164062,0.0,0.0,0.0,0.029352226720647773,0.8156286476373983,600,0.0
stage1_single_agent,1,28200,47,1,-772.5950317382812,0.0,0.0,0.0,0.010121457489878543,0.9024166919552954,600,0.0
stage1_single_agent,1,28800,48,1,-670.4420166015625,0.0,0.0,0.0,0.018218623481781375,0.8294093723606784,600,0.0
stage1_single_agent,1,29400,49,1,-780.1069946289062,0.0,0.0,0.0,0.012145748987854251,0.9186307304179839,600,0.0
stage1_single_agent,1,30000,50,1,-683.8695068359375,0.0,0.0,0.0,0.020242914979757085,0.8563803006215797,600,0.0
stage1_single_agent,1,30600,51,1,-219.01437377929688,1.0,1.0,0.0,0.06477732793522267,0.5147576340386877,600,0.0
stage1_single_agent,1,31200,52,1,-208.81520080566406,0.0,0.0,0.0,0.05566801619433198,0.5178755606090029,600,0.0
stage1_single_agent,1,31800,53,1,-775.2152099609375,0.0,0.0,0.0,0.010121457489878543,0.9268548560716833,600,0.0
stage1_single_agent,1,32400,54,1,-8.436993598937988,0.0,0.0,0.0,0.02327935222672065,0.5579686860941971,600,0.0
stage1_single_agent,1,33000,55,1,-729.0628662109375,0.0,0.0,0.0,0.010121457489878543,0.9017772453123083,600,0.0
stage1_single_agent,1,33600,56,1,-854.795166015625,0.0,0.0,0.0,0.012145748987854251,0.9410272616116951,600,0.0
stage1_single_agent,1,34200,57,1,-297.8932189941406,1.0,1.0,0.0,0.07692307692307693,0.44921596984563317,600,0.0
stage1_single_agent,1,34800,58,1,-727.0697631835938,0.0,0.0,0.0,0.03340080971659919,0.8506221455550985,600,0.0
stage1_single_agent,1,35400,59,1,-822.0960083007812,0.0,0.0,0.0,0.012145748987854251,0.9323894880956505,600,0.0
stage1_single_agent,1,36000,60,1,-826.0093994140625,0.0,0.0,0.0,0.025303643724696356,0.9119327152186695,600,0.0
stage1_single_agent,1,36600,61,1,-761.6966552734375,0.0,0.0,0.0,0.0354251012145749,0.8432506136716499,600,0.0
stage1_single_agent,1,37200,62,1,-765.9758911132812,0.0,0.0,0.0,0.02125506072874494,0.8819446023408091,600,0.0
stage1_single_agent,1,37800,63,1,-849.8497314453125,0.0,0.0,0.0,0.020242914979757085,0.932029810398817,600,0.0
stage1_single_agent,1,38400,64,1,-897.1133422851562,0.0,0.0,0.0,0.004048582995951417,0.9865286145483454,600,0.0
stage1_single_agent,1,39000,65,1,-742.9210205078125,0.0,0.0,0.0,0.043522267206477734,0.8292899536097926,600,0.0
stage1_single_agent,1,39600,66,1,-904.6168823242188,0.0,0.0,0.0,0.0020242914979757085,0.995,600,0.0
stage1_single_agent,1,40200,67,1,-881.814453125,0.0,0.0,0.0,0.008097165991902834,0.9683740590233356,600,0.0
stage1_single_agent,1,40800,68,1,-717.7787475585938,0.0,0.0,0.0,0.03643724696356275,0.8351524470796964,600,0.0
stage1_single_agent,1,41400,69,1,-897.0536499023438,0.0,0.0,0.0,0.004048582995951417,0.9868055555596947,600,0.0
stage1_single_agent,1,42000,70,1,-820.4634399414062,0.0,0.0,0.0,0.008097165991902834,0.960318507278959,600,0.0
stage1_single_agent,1,42600,71,1,-898.5983276367188,0.0,0.0,0.0,0.003036437246963563,0.9868458066352953,600,0.0
stage1_single_agent,1,43200,72,1,-815.4962158203125,0.0,0.0,0.0,0.027327935222672066,0.9018616869921485,600,0.0
stage1_single_agent,1,43800,73,1,-468.9414978027344,0.0,0.0,0.0,0.02631578947368421,0.8537035620720902,600,0.0
stage1_single_agent,1,44400,74,1,-472.6368408203125,0.0,0.0,0.0,0.01720647773279352,0.8965618968514415,600,0.0
stage1_single_agent,1,45000,75,1,-55.415428161621094,0.0,0.0,0.0,0.015182186234817813,0.9037368989867779,600,0.0
stage1_single_agent,1,45600,76,1,-882.035888671875,0.0,0.0,0.0,0.004048582995951417,0.9787289290223271,600,0.0
stage1_single_agent,1,46200,77,1,-531.0895385742188,0.0,0.0,0.0,0.004048582995951417,0.9665405485111599,600,0.0
stage1_single_agent,1,46800,78,1,-767.0269775390625,0.0,0.0,0.0,0.006072874493927126,0.9537351956777275,600,0.0
stage1_single_agent,1,47400,79,1,-10.340229034423828,0.0,0.0,0.0,0.00708502024291498,0.9324615890594821,600,0.0
stage1_single_agent,1,48000,80,1,-19.507932662963867,0.0,0.0,0.0,0.019230769230769232,0.8652650520155051,600,0.0
stage1_single_agent,1,48600,81,1,-12.137503623962402,0.0,0.0,0.0,0.012145748987854251,0.885527750904827,600,0.0
stage1_single_agent,1,49200,82,1,-7.279773712158203,0.0,0.0,0.0,0.013157894736842105,0.8831949086502815,600,0.0
stage1_single_agent,1,49800,83,1,-181.42384338378906,0.0,0.0,0.0,0.00708502024291498,0.9283014717977494,600,0.0
stage1_single_agent,1,50400,84,1,-10.612007141113281,0.0,0.0,0.0,0.024291497975708502,0.7821030711995748,600,0.0
stage1_single_agent,1,51000,85,1,-589.8977661132812,0.0,0.0,0.0,0.01417004048582996,0.907031552043433,600,0.0
stage1_single_agent,1,51600,86,1,-25.382877349853516,0.0,0.0,0.0,0.05668016194331984,0.5093519023097663,600,0.0
stage1_single_agent,1,52200,87,1,-872.15771484375,0.0,0.0,0.0,0.00708502024291498,0.9695279860993227,600,0.0
stage1_single_agent,1,52800,88,1,-645.7178955078125,1.0,1.0,0.0,0.032388663967611336,0.852968108044103,600,0.0
stage1_single_agent,1,53400,89,1,-7.641909122467041,0.0,0.0,0.0,0.04251012145748988,0.5642502515603943,600,0.0
stage1_single_agent,1,54000,90,1,-329.2839050292969,0.0,0.0,0.0,0.027327935222672066,0.7588300159742357,600,0.0
stage1_single_agent,1,54600,91,1,-8.022775650024414,0.0,0.0,0.0,0.008097165991902834,0.8366678776964546,600,0.0
stage1_single_agent,1,55200,92,1,-849.6665649414062,0.0,0.0,0.0,0.006072874493927126,0.9615384918893688,600,0.0
stage1_single_agent,1,55800,93,1,-70.63133239746094,0.0,0.0,0.0,0.030364372469635626,0.7697321006682857,600,0.0
stage1_single_agent,1,56400,94,1,-153.16152954101562,1.0,1.0,0.0,0.024291497975708502,0.7988580659404397,600,0.0
stage1_single_agent,1,57000,95,1,-210.48463439941406,0.0,0.0,0.0,0.020242914979757085,0.8057176687257985,600,0.0
stage1_single_agent,1,57600,96,1,-579.2239379882812,0.0,0.0,0.0,0.02631578947368421,0.8469897865069409,600,0.0
stage1_single_agent,1,58200,97,1,-674.2122802734375,0.0,0.0,0.0,0.005060728744939271,0.9561058262254422,600,0.0
stage1_single_agent,1,58800,98,1,-7.805119037628174,0.0,0.0,0.0,0.048582995951417005,0.5876306062502166,600,0.0
stage1_single_agent,1,59400,99,1,-284.0268249511719,0.0,0.0,0.0,0.022267206477732792,0.7174746115816136,600,0.0
stage1_single_agent,1,60000,100,1,-854.02978515625,0.0,0.0,0.0,0.003036437246963563,0.9693903463768462,600,0.0
stage1_single_agent,1,60600,101,1,-7.551468849182129,0.0,0.0,0.0,0.02631578947368421,0.7826191630622876,600,0.0
stage1_single_agent,1,61200,102,1,-841.8630981445312,0.0,0.0,0.0,0.005060728744939271,0.9658048643482228,600,0.0
stage1_single_agent,1,61800,103,1,-34.835235595703125,0.0,0.0,0.0,0.015182186234817813,0.8388148106324176,600,0.0
stage1_single_agent,1,62400,104,1,-418.9912414550781,0.0,0.0,0.0,0.015182186234817813,0.8433050477256377,600,0.0
stage1_single_agent,1,63000,105,1,-757.3822021484375,0.0,0.0,0.0,0.009109311740890687,0.8950336807640269,600,0.0
stage1_single_agent,1,63600,106,1,-843.1953735351562,0.0,0.0,0.0,0.003036437246963563,0.9766323830006877,600,0.0
stage1_single_agent,1,64200,107,1,-850.9948120117188,0.0,0.0,0.0,0.003036437246963563,0.9604776880098507,600,0.0
stage1_single_agent,1,64800,108,1,-665.35498046875,0.0,0.0,0.0,0.010121457489878543,0.8805225956416689,600,0.0
stage1_single_agent,1,65400,109,1,-612.5576171875,0.0,0.0,0.0,0.010121457489878543,0.9135143775547234,600,0.0
stage1_single_agent,1,66000,110,1,-833.0484619140625,0.0,0.0,0.0,0.003036437246963563,0.9562249315173055,600,0.0
stage1_single_agent,1,66600,111,1,-270.3514404296875,0.0,0.0,0.0,0.029352226720647773,0.6728743629229332,600,0.0
stage1_single_agent,1,67200,112,1,-894.469482421875,0.0,0.0,0.0,0.003036437246963563,0.9818041449785233,600,0.0
stage1_single_agent,1,67800,113,1,-751.0332641601562,0.0,0.0,0.0,0.006072874493927126,0.9223056766320952,600,0.0
stage1_single_agent,1,68400,114,1,-675.731201171875,0.0,0.0,0.0,0.012145748987854251,0.8515647565230029,600,0.0
stage1_single_agent,1,69000,115,1,-810.896728515625,0.0,0.0,0.0,0.016194331983805668,0.9182884289044887,600,0.0
stage1_single_agent,1,69600,116,1,-760.1328735351562,0.0,0.0,0.0,0.01720647773279352,0.8816300643631257,600,0.0
stage1_single_agent,1,70200,117,1,-621.9765014648438,0.0,0.0,0.0,0.01720647773279352,0.8016647101077251,600,0.0
stage1_single_agent,1,70800,118,1,-763.2698364257812,0.0,0.0,0.0,0.018218623481781375,0.8916331476060441,600,0.0
stage1_single_agent,1,71400,119,1,-755.7481689453125,0.0,0.0,0.0,0.013157894736842105,0.858555630557239,600,0.0
stage1_single_agent,1,72000,120,1,-889.5194091796875,0.0,0.0,0.0,0.003036437246963563,0.9779585928438852,600,0.0
stage1_single_agent,1,72600,121,1,-714.8190307617188,0.0,0.0,0.0,0.027327935222672066,0.7987341245741117,600,0.0
stage1_single_agent,1,73200,122,1,-740.4929809570312,0.0,0.0,0.0,0.019230769230769232,0.8298597189805392,600,0.0
stage1_single_agent,1,73800,123,1,-810.59033203125,0.0,0.0,0.0,0.012145748987854251,0.9297434548358433,600,0.0
stage1_single_agent,1,74400,124,1,-764.019775390625,0.0,0.0,0.0,0.027327935222672066,0.8465898182196543,600,0.0
stage1_single_agent,1,75000,125,1,-717.57568359375,0.0,0.0,0.0,0.02327935222672065,0.8287882157081428,600,0.0
stage1_single_agent,1,75600,126,1,-863.3682861328125,0.0,0.0,0.0,0.009109311740890687,0.9588033242647847,600,0.0
stage1_single_agent,1,76200,127,1,-755.4359741210938,0.0,0.0,0.0,0.013157894736842105,0.8780038041210112,600,0.0
stage1_single_agent,1,76800,128,1,-886.4666137695312,0.0,0.0,0.0,0.003036437246963563,0.9784055707852045,600,0.0
stage1_single_agent,1,77400,129,1,-743.4296875,0.0,0.0,0.0,0.012145748987854251,0.910422968470181,600,0.0
stage1_single_agent,1,78000,130,1,-848.9332885742188,0.0,0.0,0.0,0.006072874493927126,0.9584777277841932,600,0.0
stage1_single_agent,1,78600,131,1,-613.6807861328125,1.0,1.0,0.0,0.027327935222672066,0.8456850196102944,600,0.0
stage1_single_agent,1,79200,132,1,-519.6372680664062,1.0,1.0,0.0,0.05161943319838057,0.6929239110082077,600,0.0
stage1_single_agent,1,79800,133,1,-898.3869018554688,0.0,0.0,0.0,0.003036437246963563,0.9901388888930281,600,0.0
stage1_single_agent,1,80400,134,1,-635.5234985351562,0.0,0.0,0.0,0.03340080971659919,0.7991903332760557,600,0.0
stage1_single_agent,1,81000,135,1,-846.83447265625,0.0,0.0,0.0,0.010121457489878543,0.947728961839651,600,0.0
stage1_single_agent,1,81600,136,1,-760.098876953125,1.0,1.0,0.0,0.008097165991902834,0.8958079973625718,600,0.0
stage1_single_agent,1,82200,137,1,-808.8161010742188,0.0,0.0,0.0,0.004048582995951417,0.8426800610070738,600,0.0
stage1_single_agent,1,82800,138,1,-466.762451171875,1.0,1.0,0.0,0.057692307692307696,0.6482921367169668,600,0.0
stage1_single_agent,1,83400,139,1,-887.9328002929688,0.0,0.0,0.0,0.003036437246963563,0.9831610149657354,600,0.0
stage1_single_agent,1,84000,140,1,-537.9329223632812,1.0,1.0,0.0,0.02631578947368421,0.7715429615828907,600,0.0
stage1_single_agent,1,84600,141,1,-797.7484741210938,0.0,0.0,0.0,0.01720647773279352,0.8905483874670851,600,0.0
stage1_single_agent,1,85200,142,1,-891.270751953125,0.0,0.0,0.0,0.003036437246963563,0.9544044074664513,600,0.0
stage1_single_agent,1,85800,143,1,-649.1392822265625,0.0,0.0,0.0,0.025303643724696356,0.8021199856333745,600,0.0
stage1_single_agent,1,86400,144,1,-602.3991088867188,0.0,0.0,0.0,0.029352226720647773,0.7878961448716776,600,0.0
stage1_single_agent,1,87000,145,1,-851.990234375,0.0,0.0,0.0,0.008097165991902834,0.9645994816161693,600,0.0
stage1_single_agent,1,87600,146,1,-885.952880859375,0.0,0.0,0.0,0.008097165991902834,0.9651388888930281,600,0.0
stage1_single_agent,1,88200,147,1,-809.8864135742188,0.0,0.0,0.0,0.019230769230769232,0.9241410194554677,600,0.0
stage1_single_agent,1,88800,148,1,-855.1935424804688,0.0,0.0,0.0,0.008097165991902834,0.9654010013027194,600,0.0
stage1_single_agent,1,89400,149,1,-19.296899795532227,0.0,0.0,0.0,0.058704453441295545,0.416128460286806,600,0.0
stage1_single_agent,1,90000,150,1,-899.818359375,0.0,0.0,0.0,0.0020242914979757085,0.9816666666666667,600,0.0
stage1_single_agent,1,90600,151,1,-777.0321655273438,0.0,0.0,0.0,0.015182186234817813,0.8896172969245041,600,0.0
stage1_single_agent,1,91200,152,1,-774.7825927734375,0.0,0.0,0.0,0.01720647773279352,0.8831136581286168,600,0.0
stage1_single_agent,1,91800,153,1,-887.7418212890625,0.0,0.0,0.0,0.0020242914979757085,0.9771470118251939,600,0.0
stage1_single_agent,1,92400,154,1,-808.3603515625,0.0,0.0,0.0,0.016194331983805668,0.9272781873517669,600,0.0
stage1_single_agent,1,93000,155,1,-569.1765747070312,1.0,1.0,0.0,0.030364372469635626,0.7526481379258136,600,0.0
stage1_single_agent,1,93600,156,1,-816.3451538085938,0.0,0.0,0.0,0.020242914979757085,0.9020375038900723,600,0.0
stage1_single_agent,1,94200,157,1,-606.5734252929688,0.0,0.0,0.0,0.0354251012145749,0.7030671332815351,600,0.0
stage1_single_agent,1,94800,158,1,-887.8916625976562,0.0,0.0,0.0,0.006072874493927126,0.9692235287387545,600,0.0
stage1_single_agent,1,95400,159,1,-115.09111785888672,0.0,0.0,0.0,0.03137651821862348,0.15139604787613886,600,0.0
stage1_single_agent,1,96000,160,1,-875.4506225585938,0.0,0.0,0.0,0.00708502024291498,0.9765962923690676,600,0.0
stage1_single_agent,1,96600,161,1,-620.2269897460938,1.0,1.0,0.0,0.022267206477732792,0.713580200181265,600,0.0
stage1_single_agent,1,97200,162,1,-895.24169921875,0.0,0.0,0.0,0.006072874493927126,0.9783333333333334,600,0.0
stage1_single_agent,1,97800,163,1,-847.4027099609375,0.0,0.0,0.0,0.005060728744939271,0.9542558356296892,600,0.0
stage1_single_agent,1,98400,164,1,-881.8507690429688,0.0,0.0,0.0,0.004048582995951417,0.9629174562605719,600,0.0
stage1_single_agent,1,99000,165,1,-691.3502807617188,0.0,0.0,0.0,0.044534412955465584,0.5557306083668179,600,0.0
stage1_single_agent,1,99600,166,1,-846.802734375,0.0,0.0,0.0,0.019230769230769232,0.9383345028284626,600,0.0
stage2_small_swarm,2,101800,167,3,-872.76611328125,0.0,0.0,0.0,0.025303643724696356,0.5810151953514044,600,0.0
stage2_small_swarm,2,103600,168,3,-755.1397094726562,0.0,0.0,0.0,0.058704453441295545,0.6319655693367692,600,0.0
stage2_small_swarm,2,105400,169,3,-699.9280395507812,0.0,0.0,0.0,0.1214574898785425,0.6103522970017771,600,0.0
stage2_small_swarm,2,107200,170,3,-832.2427368164062,0.0,0.0,0.0,0.048582995951417005,0.6518560518571433,600,0.0
stage2_small_swarm,2,109000,171,3,-666.9063110351562,0.0,0.0,0.0,0.13360323886639677,0.43263073340068026,600,0.0
stage2_small_swarm,2,110800,172,3,-859.06982421875,0.0,0.0,0.0,0.03340080971659919,0.5320632821697897,600,0.0
stage2_small_swarm,2,112600,173,3,-843.677001953125,0.0,0.0,0.0,0.03744939271255061,0.6153486538097626,600,0.0
stage2_small_swarm,2,114400,174,3,-596.3948974609375,1.0,1.0,0.0,0.12044534412955465,0.5408633175474016,600,0.0
stage2_small_swarm,2,116200,175,3,-772.9218139648438,0.0,0.0,0.0,0.07489878542510121,0.6487940061829996,600,0.0
