episode,global_step,epsilon,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,food_delivered,exploration_coverage,coverage_reward_total,pheromone_usage,pheromone_deposit_events,episode_length,collisions,reward_step_component,reward_pickup_component,reward_delivery_component,reward_collision_component,reward_exploration_component,reward_new_cell_component,reward_food_approach_component,reward_food_detected_component,reward_pheromone_follow_component,reward_pheromone_usage_component,reward_pheromone_deposit_component,reward_pheromone_component,swarm_efficiency
1,600,0.988619,-512.9837036132812,0,0,0,0,0.15890688259109312,3.0200000000000022,0.565332453905511,1846,600,2028,-35.99999999999985,0.0,0.0,-3042.0,3.0200000000000022,3.0200000000000022,-0.25952929433186833,0.25,0.7846368378493934,0.0,-3.691999999999971,-2.9073631621505776,0.0
2,1200,0.977219,-527.71337890625,0,0,0,0,0.13663967611336034,2.580000000000002,0.5641639842491389,1849,600,2087,-35.99999999999985,0.0,0.0,-3130.5,2.580000000000002,2.580000000000002,0.026763010660807277,0.15000000000000002,1.1691442453349006,0.0,-3.697999999999972,-2.5288557546650714,0.0
3,1800,0.965819,-662.0244750976562,0,0,0,0,0.1437246963562753,2.7200000000000015,0.6389449430177289,1869,600,2624,-35.99999999999985,0.0,0.0,-3936.0,2.7200000000000015,2.7200000000000015,0.001775410970052074,0.25,0.6281503855437036,0.0,-3.7379999999999733,-3.1098496144562695,0.0
4,2400,0.954419,-614.06005859375,0,0,0,0,0.12955465587044535,2.4400000000000017,0.6146748269309319,1840,600,2432,-35.99999999999985,0.0,0.0,-3648.0,2.4400000000000017,2.4400000000000017,-0.02241640981038407,0.35,0.5623872046452016,0.0,-3.679999999999972,-3.1176127953547708,0.0
5,3000,0.943019,-498.2733459472656,0,0,0,0,0.12550607287449392,2.3600000000000017,0.5651952743015539,1865,600,1969,-35.99999999999985,0.0,0.0,-2953.5,2.3600000000000017,2.3600000000000017,-0.06229265340169265,0.2,1.1010533199459314,0.0,-3.72999999999997,-2.6289466800540384,0.0
6,3600,0.931619,-572.17724609375,2,2,0,0,0.14068825910931174,2.660000000000002,0.5885362668255564,1894,600,2305,-35.99999999999985,60.0,0.0,-3457.5,2.660000000000002,2.660000000000002,0.17606748326619467,0.44999999999999996,0.9442762984614816,0.0,-3.78799999999997,-2.8437237015384884,0.0
7,4200,0.920219,-607.6600341796875,1,1,0,0,0.17611336032388664,3.360000000000002,0.6090323581749302,1950,600,2427,-35.99999999999985,30.0,0.0,-3640.5,3.360000000000002,3.360000000000002,0.1389539744059245,0.15000000000000002,0.7976154915243384,0.0,-3.899999999999973,-3.1023845084756343,0.0
