stage,stage_index,stage_attempt,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_miniscule,1,1,2708,30,1,50,50,1,0,130.4847869873047,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,106,103,103,0,0.03773584905660377
stage1a_single_agent_miniscule,1,1,2811,31,1,50,50,1,0,130.23516845703125,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,103,100,100,0,0.038834951456310676
stage1a_single_agent_miniscule,1,1,2889,32,1,50,50,1,0,135.33865356445312,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,78,75,75,0,0.05128205128205128
stage1a_single_agent_miniscule,1,1,3009,33,1,50,50,1,0,92.39708709716797,3.0,3.0,3.0,0.4444444444444444,0.0,0,0,1,120,68,68,0,0.025
stage1a_single_agent_miniscule,1,1,3129,34,1,50,50,1,0,-24.489086151123047,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,3249,35,1,50,50,1,0,-15.475436210632324,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,3369,36,1,50,50,1,0,-12.138985633850098,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,3409,37,1,50,50,1,0,138.7667236328125,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,40,32,32,0,0.1
stage1a_single_agent_miniscule,1,1,3524,38,1,50,50,1,0,128.7920684814453,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,115,112,112,0,0.034782608695652174
stage1a_single_agent_miniscule,1,1,3644,39,1,50,50,1,0,-14.09237003326416,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,3764,40,1,50,50,1,0,-9.435218811035156,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,3884,41,1,50,50,1,0,-16.84848403930664,0.0,0.0,0.0,0.2222222222222222,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,4004,42,1,50,50,1,0,-15.633732795715332,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,4043,43,1,50,50,1,0,137.307861328125,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,39,36,36,0,0.10256410256410256
stage1a_single_agent_miniscule,1,1,4163,44,1,50,50,1,0,20.60940933227539,1.0,1.0,1.0,0.4444444444444444,0.0,0,0,3,120,102,102,0,0.008333333333333333
stage1a_single_agent_miniscule,1,1,4282,45,1,50,50,1,0,129.192138671875,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,119,113,113,0,0.03361344537815126
stage1a_single_agent_miniscule,1,1,4286,46,1,50,50,1,0,142.42999267578125,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0
stage1a_single_agent_miniscule,1,1,4365,47,1,50,50,1,0,136.8385467529297,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,79,76,76,0,0.05063291139240506
stage1a_single_agent_miniscule,1,1,4485,48,1,50,50,1,0,-15.44869613647461,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,4592,49,1,50,50,1,0,132.09494018554688,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,107,104,104,0,0.037383177570093455
stage1a_single_agent_miniscule,1,1,4712,50,1,50,50,1,0,-12.316474914550781,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,4736,51,1,50,50,1,0,140.62734985351562,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,24,18,18,0,0.16666666666666666
stage1a_single_agent_miniscule,1,1,4827,52,1,50,50,1,0,129.00559997558594,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,91,88,88,0,0.04395604395604396
stage1a_single_agent_miniscule,1,1,4947,53,1,50,50,1,0,51.86107635498047,2.0,2.0,2.0,0.2222222222222222,0.0,0,0,2,120,1,1,0,0.016666666666666666
stage1a_single_agent_miniscule,1,1,5067,54,1,50,50,1,0,-22.785505294799805,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,5145,55,1,50,50,1,0,132.2509765625,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,78,75,75,0,0.05128205128205128
stage1a_single_agent_miniscule,1,1,5265,56,1,50,50,1,0,-26.048370361328125,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,5291,57,1,50,50,1,0,133.0880126953125,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,26,23,23,0,0.15384615384615385
stage1a_single_agent_miniscule,1,1,5295,58,1,50,50,1,0,141.07998657226562,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0
stage1a_single_agent_miniscule,1,1,5381,59,1,50,50,1,0,124.83560180664062,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,86,83,83,0,0.046511627906976744
stage1a_single_agent_miniscule,1,1,5449,60,1,50,50,1,0,133.75534057617188,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,68,21,21,0,0.058823529411764705
stage1a_single_agent_miniscule,1,1,5569,61,1,50,50,1,0,-27.245006561279297,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,5689,62,1,50,50,1,0,56.562889099121094,2.0,2.0,2.0,0.3333333333333333,0.0,0,0,2,120,86,86,0,0.016666666666666666
stage1a_single_agent_miniscule,1,1,5809,63,1,50,50,1,0,-23.07708740234375,0.0,0.0,0.0,0.2222222222222222,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,5867,64,1,50,50,1,0,137.1293487548828,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,58,55,55,0,0.06896551724137931
stage1a_single_agent_miniscule,1,1,5987,65,1,50,50,1,0,-17.06746482849121,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,6038,66,1,50,50,1,0,138.74574279785156,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,51,48,48,0,0.0784313725490196
stage1a_single_agent_miniscule,1,1,6158,67,1,50,50,1,0,20.645254135131836,1.0,1.0,1.0,0.3333333333333333,0.0,0,0,3,120,87,87,0,0.008333333333333333
stage1a_single_agent_miniscule,1,1,6278,68,1,50,50,1,0,22.295196533203125,1.0,1.0,1.0,0.3333333333333333,0.0,0,0,3,120,120,120,0,0.008333333333333333
stage1a_single_agent_miniscule,1,1,6294,69,1,50,50,1,0,140.74835205078125,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,16,13,13,0,0.25
stage1a_single_agent_miniscule,1,1,6347,70,1,50,50,1,0,134.06488037109375,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,53,50,50,0,0.07547169811320754
stage1a_single_agent_miniscule,1,1,6413,71,1,50,50,1,0,138.6361846923828,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,66,63,63,0,0.06060606060606061
stage1a_single_agent_miniscule,1,1,6533,72,1,50,50,1,0,-18.4152774810791,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,6621,73,1,50,50,1,0,132.03822326660156,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,88,85,85,0,0.045454545454545456
stage1a_single_agent_miniscule,1,1,6741,74,1,50,50,1,0,-11.090156555175781,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,6844,75,1,50,50,1,0,133.43734741210938,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,103,100,100,0,0.038834951456310676
stage1a_single_agent_miniscule,1,1,6848,76,1,50,50,1,0,140.92857360839844,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0
stage1a_single_agent_miniscule,1,1,6882,77,1,50,50,1,0,137.39337158203125,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,34,31,31,0,0.11764705882352941
stage1a_single_agent_miniscule,1,1,6886,78,1,50,50,1,0,142.42919921875,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0
stage1a_single_agent_miniscule,1,1,7006,79,1,50,50,1,0,-16.85428810119629,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,7126,80,1,50,50,1,0,-18.34193992614746,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,7204,81,1,50,50,1,0,133.76165771484375,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,78,75,75,0,0.05128205128205128
stage1a_single_agent_miniscule,1,1,7324,82,1,50,50,1,0,-20.014833450317383,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,7444,83,1,50,50,1,0,-15.263957023620605,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,7564,84,1,50,50,1,0,-21.347200393676758,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,7684,85,1,50,50,1,0,-13.798554420471191,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,7804,86,1,50,50,1,0,-10.57971477508545,0.0,0.0,0.0,0.2222222222222222,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,7885,87,1,50,50,1,0,135.29519653320312,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,81,78,78,0,0.04938271604938271
stage1a_single_agent_miniscule,1,1,8005,88,1,50,50,1,0,-6.186285972595215,0.0,0.0,0.0,0.2222222222222222,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,8125,89,1,50,50,1,0,-9.145968437194824,0.0,0.0,0.0,0.2222222222222222,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,8245,90,1,50,50,1,0,-9.10001277923584,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,8365,91,1,50,50,1,0,-5.959228992462158,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,8485,92,1,50,50,1,0,-5.8888678550720215,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,8489,93,1,50,50,1,0,143.94000244140625,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0
stage1a_single_agent_miniscule,1,1,8609,94,1,50,50,1,0,-7.450005531311035,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,8729,95,1,50,50,1,0,-5.920010089874268,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,8849,96,1,50,50,1,0,-2.8199989795684814,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,8969,97,1,50,50,1,0,-2.749462604522705,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,9089,98,1,50,50,1,0,-2.7999987602233887,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,9209,99,1,50,50,1,0,-2.7599987983703613,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,9329,100,1,50,50,1,0,-2.709484815597534,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,9449,101,1,50,50,1,0,-1.2299991846084595,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,9569,102,1,50,50,1,0,-1.2496134042739868,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,9689,103,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,9809,104,1,50,50,1,0,-2.719308614730835,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,9929,105,1,50,50,1,0,-1.2199991941452026,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,9933,106,1,50,50,1,0,143.9499969482422,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0
stage1a_single_agent_miniscule,1,1,10053,107,1,50,50,1,0,-2.7699990272521973,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,10173,108,1,50,50,1,0,-2.7699992656707764,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,10293,109,1,50,50,1,0,-1.209504246711731,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,10413,110,1,50,50,1,0,-2.7399988174438477,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,10533,111,1,50,50,1,0,-1.2099992036819458,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,10653,112,1,50,50,1,0,-1.2199991941452026,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,10773,113,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,10893,114,1,50,50,1,0,-1.2099992036819458,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,11013,115,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,11133,116,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,11253,117,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,11373,118,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,11493,119,1,50,50,1,0,-1.2095309495925903,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,11613,120,1,50,50,1,0,-1.2199991941452026,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,11733,121,1,50,50,1,0,-1.2099992036819458,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,11853,122,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,11973,123,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,12093,124,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,12213,125,1,50,50,1,0,-2.7393362522125244,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,12333,126,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,12453,127,1,50,50,1,0,-1.0599993467330933,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,12573,128,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,12693,129,1,50,50,1,0,-1.2095109224319458,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,12813,130,1,50,50,1,0,-1.2196168899536133,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,12933,131,1,50,50,1,0,-2.709310293197632,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,13053,132,1,50,50,1,0,-1.219999074935913,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,13173,133,1,50,50,1,0,-1.2199991941452026,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,13293,134,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,13413,135,1,50,50,1,0,-1.2099992036819458,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,13533,136,1,50,50,1,0,-2.709998846054077,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,13653,137,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,13773,138,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,13893,139,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,14013,140,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,14133,141,1,50,50,1,0,-1.2099992036819458,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,14253,142,1,50,50,1,0,-1.2099992036819458,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,14373,143,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,14493,144,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,14613,145,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,14733,146,1,50,50,1,0,-1.2194879055023193,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,14853,147,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,14973,148,1,50,50,1,0,-2.719998836517334,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,15093,149,1,50,50,1,0,-2.719998836517334,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,15213,150,1,50,50,1,0,-1.199999213218689,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,4,120,-1,-1,-1,0.0
