episode,global_step,epsilon,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,food_delivered,exploration_coverage,coverage_reward_total,pheromone_usage,pheromone_deposit_events,episode_length,collisions,reward_step_component,reward_pickup_component,reward_delivery_component,reward_collision_component,reward_exploration_component,reward_new_cell_component,reward_food_approach_component,reward_food_detected_component,reward_pheromone_follow_component,reward_pheromone_usage_component,reward_pheromone_deposit_component,reward_pheromone_component,swarm_efficiency
1,600,0.92886875,-62.14460372924805,0,0,0,0,0.13360323886639677,2.520000000000002,0.5967864381742645,1754,600,2418,-287.9999999999988,0.0,0.0,-483.59999999999985,2.520000000000002,2.520000000000002,0.7334195429484051,0.15000000000000002,0.7227531211450695,429.6862354854703,-35.07999999999972,395.32898860661567,0.0
2,1200,0.85761875,-54.69681930541992,1,1,0,0,0.12955465587044535,2.4400000000000017,0.5564705988004749,1643,600,2101,-287.9999999999988,8.0,0.0,-420.2000000000024,2.4400000000000017,2.4400000000000017,0.8468980102539062,0.2,0.7334352350514384,400.65883113634237,-32.859999999999694,368.53226637139414,0.0
3,1800,0.7863687500000001,-48.339569091796875,2,2,0,0,0.18421052631578946,3.5200000000000027,0.5190135742111387,1540,600,1834,-287.9999999999988,16.0,0.0,-366.80000000000007,3.5200000000000027,3.5200000000000027,0.6090174433390296,0.3,1.443781430998351,373.68977343201993,-30.799999999999688,344.3335548630186,0.0
