stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,pheromone_enabled,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_tiny,1,120,1,1,220,220,1,0,False,-8.90381145477295,0.0,0.0,0.0,0.12,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,240,2,1,220,220,1,0,False,-8.501688003540039,0.0,0.0,0.0,0.24,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,360,3,1,220,220,1,0,False,-13.458843231201172,0.0,0.0,0.0,0.1,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,480,4,1,220,220,1,0,False,-2.506492853164673,0.0,0.0,0.0,0.24,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,600,5,1,220,220,1,0,False,-11.652145385742188,0.0,0.0,0.0,0.16,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,720,6,1,220,220,1,0,False,-13.358455657958984,0.0,0.0,0.0,0.15,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,840,7,1,220,220,1,0,False,-19.28064727783203,0.0,0.0,0.0,0.12,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,960,8,1,220,220,1,0,False,-11.693979263305664,0.0,0.0,0.0,0.17,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,970,9,1,220,220,1,0,False,7.926865577697754,1.0,1.0,0.0,0.04,0.0,0,10,9,-1,-1,0.0
stage1a_single_agent_tiny,1,1090,10,1,220,220,1,0,False,-8.910491943359375,0.0,0.0,0.0,0.11,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1210,11,1,220,220,1,0,False,-8.797477722167969,0.0,0.0,0.0,0.14,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1314,12,1,220,220,1,0,False,5.344789028167725,1.0,1.0,0.0,0.12,0.0,0,104,103,-1,-1,0.0
stage1a_single_agent_tiny,1,1434,13,1,220,220,1,0,False,-10.690023422241211,0.0,0.0,0.0,0.05,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1498,14,1,220,220,1,0,False,7.415079116821289,1.0,1.0,0.0,0.1,0.0,0,64,63,-1,-1,0.0
stage1a_single_agent_tiny,1,1538,15,1,220,220,1,0,False,7.6947021484375,1.0,1.0,0.0,0.07,0.0,0,40,39,-1,-1,0.0
stage1a_single_agent_tiny,1,1658,16,1,220,220,1,0,False,-14.557538986206055,0.0,0.0,0.0,0.13,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1778,17,1,220,220,1,0,False,-2.75050687789917,0.0,0.0,0.0,0.1,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1898,18,1,220,220,1,0,False,-8.401938438415527,0.0,0.0,0.0,0.22,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2018,19,1,220,220,1,0,False,-4.392875671386719,0.0,0.0,0.0,0.13,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2138,20,1,220,220,1,0,False,-15.011039733886719,0.0,0.0,0.0,0.07,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2258,21,1,220,220,1,0,False,-8.838066101074219,0.0,0.0,0.0,0.07,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2371,22,1,220,220,1,0,False,-4.851126670837402,1.0,1.0,0.0,0.11,0.0,0,113,112,-1,-1,0.0
stage1a_single_agent_tiny,1,2491,23,1,220,220,1,0,False,-13.247447967529297,0.0,0.0,0.0,0.13,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2598,24,1,220,220,1,0,False,0.8036112785339355,1.0,1.0,0.0,0.11,0.0,0,107,106,-1,-1,0.0
stage1a_single_agent_tiny,1,2706,25,1,220,220,1,0,False,0.8294317722320557,1.0,1.0,0.0,0.07,0.0,0,108,107,-1,-1,0.0
stage1a_single_agent_tiny,1,2826,26,1,220,220,1,0,False,-5.646056652069092,0.0,0.0,0.0,0.25,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2946,27,1,220,220,1,0,False,-13.049470901489258,0.0,0.0,0.0,0.2,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3066,28,1,220,220,1,0,False,-11.594270706176758,0.0,0.0,0.0,0.19,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3099,29,1,220,220,1,0,False,4.66976261138916,1.0,1.0,0.0,0.07,0.0,0,33,32,-1,-1,0.0
stage1a_single_agent_tiny,1,3219,30,1,220,220,1,0,False,-7.201162815093994,0.0,0.0,0.0,0.15,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3339,31,1,220,220,1,0,False,-9.940101623535156,0.0,0.0,0.0,0.14,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3459,32,1,220,220,1,0,False,-9.055535316467285,0.0,0.0,0.0,0.1,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3579,33,1,220,220,1,0,False,-1.0257230997085571,0.0,0.0,0.0,0.14,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3699,34,1,220,220,1,0,False,-10.018424034118652,0.0,0.0,0.0,0.1,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3819,35,1,220,220,1,0,False,-7.329828262329102,0.0,0.0,0.0,0.15,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3939,36,1,220,220,1,0,False,-11.866646766662598,0.0,0.0,0.0,0.14,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4059,37,1,220,220,1,0,False,-5.525752544403076,0.0,0.0,0.0,0.15,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4179,38,1,220,220,1,0,False,-5.7920637130737305,0.0,0.0,0.0,0.17,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4299,39,1,220,220,1,0,False,-2.605905055999756,0.0,0.0,0.0,0.17,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4419,40,1,220,220,1,0,False,-0.9739075899124146,0.0,0.0,0.0,0.18,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4539,41,1,220,220,1,0,False,-2.6920053958892822,0.0,0.0,0.0,0.14,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4659,42,1,220,220,1,0,False,-6.985888957977295,0.0,0.0,0.0,0.16,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4779,43,1,220,220,1,0,False,-1.529999017715454,0.0,0.0,0.0,0.11,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4899,44,1,220,220,1,0,False,-7.0878071784973145,0.0,0.0,0.0,0.12,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5019,45,1,220,220,1,0,False,-5.597243309020996,0.0,0.0,0.0,0.18,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5139,46,1,220,220,1,0,False,-5.477323055267334,0.0,0.0,0.0,0.16,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5259,47,1,220,220,1,0,False,-2.67617130279541,0.0,0.0,0.0,0.15,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5379,48,1,220,220,1,0,False,-9.904172897338867,0.0,0.0,0.0,0.16,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5499,49,1,220,220,1,0,False,-7.26500940322876,0.0,0.0,0.0,0.18,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5619,50,1,220,220,1,0,False,-1.1998664140701294,0.0,0.0,0.0,0.14,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5739,51,1,220,220,1,0,False,-13.449031829833984,0.0,0.0,0.0,0.1,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5859,52,1,220,220,1,0,False,-8.85411262512207,0.0,0.0,0.0,0.14,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5979,53,1,220,220,1,0,False,-2.616600751876831,0.0,0.0,0.0,0.17,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6099,54,1,220,220,1,0,False,-8.594038009643555,0.0,0.0,0.0,0.17,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6219,55,1,220,220,1,0,False,-15.574716567993164,0.0,0.0,0.0,0.16,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6339,56,1,220,220,1,0,False,-1.2582732439041138,0.0,0.0,0.0,0.07,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6459,57,1,220,220,1,0,False,-5.812150478363037,0.0,0.0,0.0,0.13,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6579,58,1,220,220,1,0,False,-20.900714874267578,0.0,0.0,0.0,0.08,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6699,59,1,220,220,1,0,False,-4.345635890960693,0.0,0.0,0.0,0.04,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6819,60,1,220,220,1,0,False,-4.400005340576172,0.0,0.0,0.0,0.08,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6939,61,1,220,220,1,0,False,-5.60772705078125,0.0,0.0,0.0,0.14,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7059,62,1,220,220,1,0,False,-0.9483932256698608,0.0,0.0,0.0,0.12,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7179,63,1,220,220,1,0,False,-5.788618087768555,0.0,0.0,0.0,0.02,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7299,64,1,220,220,1,0,False,-4.028526782989502,0.0,0.0,0.0,0.04,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7419,65,1,220,220,1,0,False,-2.789998769760132,0.0,0.0,0.0,0.01,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7539,66,1,220,220,1,0,False,-1.1911110877990723,0.0,0.0,0.0,0.02,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7659,67,1,220,220,1,0,False,-1.2204290628433228,0.0,0.0,0.0,0.02,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7779,68,1,220,220,1,0,False,-1.199999213218689,0.0,0.0,0.0,0.01,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7899,69,1,220,220,1,0,False,-1.069952368736267,0.0,0.0,0.0,0.02,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8019,70,1,220,220,1,0,False,-1.2099992036819458,0.0,0.0,0.0,0.02,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8139,71,1,220,220,1,0,False,-1.199999213218689,0.0,0.0,0.0,0.02,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8259,72,1,220,220,1,0,False,-1.2699992656707764,0.0,0.0,0.0,0.03,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8379,73,1,220,220,1,0,False,-1.2212929725646973,0.0,0.0,0.0,0.01,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8499,74,1,220,220,1,0,False,-1.3099992275238037,0.0,0.0,0.0,0.02,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8619,75,1,220,220,1,0,False,-2.7579100131988525,0.0,0.0,0.0,0.02,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8739,76,1,220,220,1,0,False,-1.3399990797042847,0.0,0.0,0.0,0.02,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8859,77,1,220,220,1,0,False,-1.2099990844726562,0.0,0.0,0.0,0.02,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8979,78,1,220,220,1,0,False,-1.221558690071106,0.0,0.0,0.0,0.02,0.0,0,120,-1,-1,-1,0.0
