family,condition,seed,n_agents,max_steps,active_targets,food_source_capacity,n_obstacles,pheromone_enabled,checkpoint_dir,food_picked_up,food_delivered,delivery_conversion,early_deliveries,late_deliveries,late_delivery_fraction,post_discovery_deliveries,time_to_first_discovery,time_to_first_delivery,pickup_to_delivery_latency,exploration_coverage,pheromone_usage,episode_length
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_without_pheromone,113,1,1600,1,18,4,False,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.08220338983050847,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_without_pheromone,114,1,1600,1,18,4,False,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.09194915254237288,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_without_pheromone,115,1,1600,1,18,4,False,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.07372881355932204,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_without_pheromone,116,1,1600,1,18,4,False,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.08135593220338982,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_without_pheromone,117,1,1600,1,18,4,False,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.06694915254237288,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_without_pheromone,118,1,1600,1,18,4,False,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.08516949152542373,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_without_pheromone,119,1,1600,1,18,4,False,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.08516949152542373,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,100,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.07288135593220339,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,101,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.08050847457627118,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,102,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.0614406779661017,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,103,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.09110169491525423,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,104,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.08728813559322034,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,105,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.09491525423728814,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,106,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.06271186440677966,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,107,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.07711864406779662,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,108,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.06991525423728813,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,109,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.08432203389830509,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,110,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.0902542372881356,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,111,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.0847457627118644,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,112,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.07288135593220339,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,113,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.07627118644067797,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,114,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.09830508474576272,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,115,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.0847457627118644,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,116,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.07288135593220339,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,117,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.08093220338983051,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,118,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.10974576271186441,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_without_pheromone__eval_without_pheromone,119,1,1600,1,18,4,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.07838983050847458,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,100,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.10889830508474577,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,101,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.13898305084745763,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,102,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.14533898305084747,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,103,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.10932203389830508,0.0,1600
