stage,stage_index,global_step,episode,n_agents,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,episode_length,swarm_efficiency
stage1_single_agent,1,600,1,1,-30.78837776184082,0.0,0.0,0.0,0.0860323886639676,0.0,600,0.0
stage1_single_agent,1,1200,2,1,-20.87015151977539,0.0,0.0,0.0,0.07388663967611336,0.0,600,0.0
stage1_single_agent,1,1800,3,1,-11.800053596496582,0.0,0.0,0.0,0.08299595141700405,0.0,600,0.0
stage1_single_agent,1,2400,4,1,-23.34053611755371,0.0,0.0,0.0,0.07995951417004049,0.0,600,0.0
stage1_single_agent,1,3000,5,1,11.236705780029297,1.0,1.0,0.0,0.08198380566801619,0.0,600,0.0
stage1_single_agent,1,3600,6,1,-52.82997131347656,0.0,0.0,0.0,0.05668016194331984,0.0,600,0.0
stage1_single_agent,1,4200,7,1,-31.480133056640625,0.0,0.0,0.0,0.0708502024291498,0.0,600,0.0
stage1_single_agent,1,4800,8,1,-18.585025787353516,0.0,0.0,0.0,0.08097165991902834,0.0,600,0.0
stage1_single_agent,1,5400,9,1,-25.484201431274414,1.0,1.0,0.0,0.030364372469635626,0.0,600,0.0
stage1_single_agent,1,6000,10,1,80.5851821899414,3.0,3.0,0.0,0.06983805668016195,0.0,600,0.0
stage1_single_agent,1,6600,11,1,-14.652905464172363,0.0,0.0,0.0,0.06781376518218624,0.0,600,0.0
stage1_single_agent,1,7200,12,1,-20.401460647583008,0.0,0.0,0.0,0.05263157894736842,0.0,600,0.0
stage1_single_agent,1,7800,13,1,-7.560025691986084,0.0,0.0,0.0,0.05060728744939271,0.0,600,0.0
stage1_single_agent,1,8400,14,1,-12.88454532623291,0.0,0.0,0.0,0.05566801619433198,0.0,600,0.0
stage1_single_agent,1,9000,15,1,-53.135406494140625,0.0,0.0,0.0,0.06578947368421052,0.0,600,0.0
stage1_single_agent,1,9600,16,1,-18.86005973815918,0.0,0.0,0.0,0.0840080971659919,0.0,600,0.0
stage1_single_agent,1,10200,17,1,-23.54935646057129,0.0,0.0,0.0,0.053643724696356275,0.0,600,0.0
stage1_single_agent,1,10800,18,1,76.71887969970703,3.0,3.0,0.0,0.08097165991902834,0.0,600,0.0
stage1_single_agent,1,11400,19,1,-11.873616218566895,1.0,1.0,0.0,0.07591093117408906,0.0,600,0.0
stage1_single_agent,1,12000,20,1,-41.523887634277344,0.0,0.0,0.0,0.05060728744939271,0.0,600,0.0
stage1_single_agent,1,12600,21,1,-15.859375,0.0,0.0,0.0,0.05668016194331984,0.0,600,0.0
stage1_single_agent,1,13200,22,1,-7.550027370452881,0.0,0.0,0.0,0.048582995951417005,0.0,600,0.0
stage1_single_agent,1,13800,23,1,-23.53775978088379,0.0,0.0,0.0,0.06882591093117409,0.0,600,0.0
stage1_single_agent,1,14400,24,1,-30.630136489868164,0.0,0.0,0.0,0.032388663967611336,0.0,600,0.0
stage1_single_agent,1,15000,25,1,10.610183715820312,1.0,1.0,0.0,0.044534412955465584,0.0,600,0.0
stage1_single_agent,1,15600,26,1,-21.440139770507812,0.0,0.0,0.0,0.04048582995951417,0.0,600,0.0
stage1_single_agent,1,16200,27,1,-6.937774658203125,0.0,0.0,0.0,0.044534412955465584,0.0,600,0.0
stage1_single_agent,1,16800,28,1,-7.930027008056641,0.0,0.0,0.0,0.0465587044534413,0.0,600,0.0
stage1_single_agent,1,17400,29,1,0.025567222386598587,1.0,1.0,0.0,0.05465587044534413,0.0,600,0.0
stage1_single_agent,1,18000,30,1,-26.33014678955078,0.0,0.0,0.0,0.027327935222672066,0.0,600,0.0
stage1_single_agent,1,18600,31,1,-36.573123931884766,0.0,0.0,0.0,0.0354251012145749,0.0,600,0.0
stage1_single_agent,1,19200,32,1,14.015946388244629,1.0,1.0,0.0,0.04554655870445344,0.0,600,0.0
stage1_single_agent,1,19800,33,1,-13.27256965637207,0.0,0.0,0.0,0.0354251012145749,0.0,600,0.0
stage1_single_agent,1,20400,34,1,-24.720138549804688,0.0,0.0,0.0,0.02125506072874494,0.0,600,0.0
stage1_single_agent,1,21000,35,1,-8.35792350769043,0.0,0.0,0.0,0.027327935222672066,0.0,600,0.0
stage1_single_agent,1,21600,36,1,-12.160051345825195,0.0,0.0,0.0,0.01417004048582996,0.0,600,0.0
stage1_single_agent,1,22200,37,1,-12.000102043151855,0.0,0.0,0.0,0.009109311740890687,0.0,600,0.0
stage1_single_agent,1,22800,38,1,-7.550039768218994,0.0,0.0,0.0,0.009109311740890687,0.0,600,0.0
stage1_single_agent,1,23400,39,1,-6.245593547821045,0.0,0.0,0.0,0.004048582995951417,0.0,600,0.0
stage1_single_agent,1,24000,40,1,-5.63400936126709,0.0,0.0,0.0,0.003036437246963563,0.0,600,0.0
stage1_single_agent,1,24600,41,1,-6.460048198699951,0.0,0.0,0.0,0.0020242914979757085,0.0,600,0.0
stage1_single_agent,1,25200,42,1,-5.105184078216553,0.0,0.0,0.0,0.003036437246963563,0.0,600,0.0
stage1_single_agent,1,25800,43,1,-6.730172634124756,0.0,0.0,0.0,0.003036437246963563,0.0,600,0.0
stage1_single_agent,1,26400,44,1,-6.160041332244873,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,27000,45,1,-6.03004264831543,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,27600,46,1,-6.00004243850708,0.0,0.0,0.0,0.0020242914979757085,0.0,600,0.0
stage1_single_agent,1,28200,47,1,-6.0200419425964355,0.0,0.0,0.0,0.0020242914979757085,0.0,600,0.0
stage1_single_agent,1,28800,48,1,-6.00004243850708,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,29400,49,1,-6.080043315887451,0.0,0.0,0.0,0.0020242914979757085,0.0,600,0.0
stage1_single_agent,1,30000,50,1,-6.030043125152588,0.0,0.0,0.0,0.0020242914979757085,0.0,600,0.0
stage1_single_agent,1,30600,51,1,-6.070042133331299,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,31200,52,1,-6.00004243850708,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,31800,53,1,-6.0200419425964355,0.0,0.0,0.0,0.0020242914979757085,0.0,600,0.0
stage1_single_agent,1,32400,54,1,-6.00004243850708,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,33000,55,1,-4.850019454956055,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,33600,56,1,-4.836751461029053,0.0,0.0,0.0,0.0020242914979757085,0.0,600,0.0
stage1_single_agent,1,34200,57,1,-4.800018310546875,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,34800,58,1,-6.010042667388916,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,35400,59,1,-6.010042667388916,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,36000,60,1,-5.990042209625244,0.0,0.0,0.0,0.0020242914979757085,0.0,600,0.0
stage1_single_agent,1,36600,61,1,-6.00004243850708,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,37200,62,1,-4.800018310546875,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,37800,63,1,-6.010042667388916,0.0,0.0,0.0,0.0020242914979757085,0.0,600,0.0
stage1_single_agent,1,38400,64,1,-4.810018539428711,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,39000,65,1,-5.990042209625244,0.0,0.0,0.0,0.0020242914979757085,0.0,600,0.0
stage1_single_agent,1,39600,66,1,-2.830354690551758,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,40200,67,1,-4.850019454956055,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,40800,68,1,-4.662609100341797,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,41400,69,1,-4.760017395019531,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,42000,70,1,-6.00004243850708,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,42600,71,1,-4.800018310546875,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,43200,72,1,-6.00004243850708,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,43800,73,1,-6.010042667388916,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,44400,74,1,-6.00004243850708,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,45000,75,1,-4.526681900024414,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,45600,76,1,-6.010042667388916,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,46200,77,1,-4.820018768310547,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,46800,78,1,-6.010042667388916,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
stage1_single_agent,1,47400,79,1,-4.800018310546875,0.0,0.0,0.0,0.0010121457489878543,0.0,600,0.0
