stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_tiny,1,120,1,1,100,100,3,0,9.572465896606445,3.0,3.0,0.0,0.4,0.005230981577187777,2,0,9,120,18,-1,-1,0.0
stage1a_single_agent_tiny,1,240,2,1,100,100,3,0,24.87628746032715,4.0,4.0,0.0,0.44,0.0,0,1,12,120,100,-1,-1,0.0
stage1a_single_agent_tiny,1,360,3,1,100,100,3,0,50.89093780517578,8.0,8.0,0.0,0.32,0.14805441829472935,3,2,12,120,19,-1,-1,0.0
stage1a_single_agent_tiny,1,480,4,1,100,100,3,0,9.746927261352539,4.0,4.0,0.0,0.48,0.0,0,1,12,120,6,-1,-1,0.0
stage1a_single_agent_tiny,1,600,5,1,100,100,3,0,39.9993782043457,7.0,7.0,0.0,0.52,0.10078318904464444,3,1,9,120,10,-1,-1,0.0
stage1a_single_agent_tiny,1,720,6,1,100,100,3,0,16.980337142944336,4.0,4.0,0.0,0.36,0.08495080570379893,1,1,12,120,19,-1,-1,0.0
stage1a_single_agent_tiny,1,840,7,1,100,100,3,0,-4.226522445678711,0.0,0.0,0.0,0.28,0.0,0,0,12,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,960,8,1,100,100,3,0,79.8373794555664,12.0,12.0,0.0,0.4,0.22437092723945776,3,3,12,120,5,-1,-1,0.0
stage1a_single_agent_tiny,1,1080,9,1,100,100,3,0,43.615211486816406,8.0,8.0,0.0,0.32,0.47218723019662623,4,2,12,120,24,-1,-1,0.0
stage1a_single_agent_tiny,1,1200,10,1,100,100,3,0,9.544723510742188,4.0,4.0,0.0,0.28,0.16103102621467164,1,1,12,120,80,-1,-1,0.0
stage1a_single_agent_tiny,1,1320,11,1,100,100,3,0,71.4933090209961,11.0,11.0,0.0,0.32,0.2093316336113882,5,2,9,120,13,-1,-1,0.0
stage1a_single_agent_tiny,1,1440,12,1,100,100,3,0,22.930431365966797,4.0,4.0,0.0,0.16,0.0,0,1,12,120,114,-1,-1,0.0
stage1a_single_agent_tiny,1,1560,13,1,100,100,3,0,101.4052505493164,11.0,11.0,1.0,0.4,0.24609952678826327,4,2,9,120,7,108,101,0.008333333333333333
stage1a_single_agent_tiny,1,1680,14,1,100,100,3,0,-7.641156196594238,2.0,2.0,0.0,0.4,0.0,0,0,10,120,118,-1,-1,0.0
stage1a_single_agent_tiny,1,1800,15,1,100,100,3,0,298.68731689453125,20.0,20.0,5.0,0.4,0.018932143754015366,1,4,8,120,39,39,0,0.041666666666666664
stage1a_single_agent_tiny,1,1920,16,1,100,100,3,0,20.288894653320312,4.0,4.0,0.0,0.28,0.0,0,1,12,120,3,-1,-1,0.0
stage1a_single_agent_tiny,1,2040,17,1,100,100,3,0,107.88737487792969,15.0,15.0,0.0,0.36,0.11798254570458085,5,3,9,120,49,-1,-1,0.0
stage1a_single_agent_tiny,1,2160,18,1,100,100,3,0,21.665422439575195,4.0,4.0,0.0,0.36,0.0,0,1,12,120,12,-1,-1,0.0
stage1a_single_agent_tiny,1,2280,19,1,100,100,3,0,84.33209228515625,12.0,12.0,0.0,0.6,0.11250345781445503,2,3,12,120,3,-1,-1,0.0
stage1a_single_agent_tiny,1,2400,20,1,100,100,3,0,-15.034780502319336,0.0,0.0,0.0,0.24,0.0,0,0,12,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2520,21,1,100,100,3,0,20.243488311767578,4.0,4.0,0.0,0.44,0.015619013272225857,1,0,8,120,15,-1,-1,0.0
stage1a_single_agent_tiny,1,2640,22,1,100,100,3,0,42.87977981567383,7.0,7.0,0.0,0.4,0.0,0,1,9,120,62,-1,-1,0.0
stage1a_single_agent_tiny,1,2760,23,1,100,100,3,0,34.903900146484375,6.0,6.0,0.0,0.52,0.0,0,1,10,120,66,-1,-1,0.0
