condition,n_agents,n,food_picked_up_mean,food_picked_up_std,food_picked_up_ci95,food_delivered_mean,food_delivered_std,food_delivered_ci95,delivery_conversion_mean,delivery_conversion_std,delivery_conversion_ci95,early_deliveries_mean,early_deliveries_std,early_deliveries_ci95,late_deliveries_mean,late_deliveries_std,late_deliveries_ci95,late_delivery_fraction_mean,late_delivery_fraction_std,late_delivery_fraction_ci95,post_discovery_deliveries_mean,post_discovery_deliveries_std,post_discovery_deliveries_ci95,time_to_first_discovery_mean,time_to_first_discovery_std,time_to_first_discovery_ci95,time_to_first_delivery_mean,time_to_first_delivery_std,time_to_first_delivery_ci95,pickup_to_delivery_latency_mean,pickup_to_delivery_latency_std,pickup_to_delivery_latency_ci95,exploration_coverage_mean,exploration_coverage_std,exploration_coverage_ci95,pheromone_usage_mean,pheromone_usage_std,pheromone_usage_ci95
trained_with_pheromone__eval_with_pheromone,1,20,0.25,0.6386663736585051,0.2799078795829649,0.15,0.36634754853252327,0.16055889229418857,0.1,0.2615741818902985,0.11463993976565798,0.05,0.22360679774997894,0.09799999999999998,0.1,0.30779350562554625,0.1348964515158903,0.1,0.30779350562554625,0.1348964515158903,0.15,0.36634754853252327,0.16055889229418857,46.75,121.58422465192812,53.28663589741013,99.5,259.3827693826858,113.67951088823996,51.9,161.30843290515156,70.69653777869702,0.045344129554655874,0.0315702725932565,0.01383628201499714,0.01845153875806621,0.05712585065952859,0.025036507928052593
trained_with_pheromone__eval_without_pheromone,1,20,0.2,0.523148363780597,0.22927987953131596,0.15,0.4893604849295929,0.21447168872174688,0.1,0.30779350562554625,0.1348964515158903,0.05,0.22360679774997894,0.09799999999999998,0.1,0.30779350562554625,0.1348964515158903,0.075,0.24468024246479644,0.10723584436087344,0.15,0.4893604849295929,0.21447168872174688,46.75,121.58422465192812,53.28663589741013,48.55,157.6052614002865,69.0735513081222,21.8,92.13354152361781,40.379304923503355,0.04498987854251012,0.030931689710137194,0.013556410726756314,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0017712550607287454,0.0010319289701582418,0.00045226281174413533,0.0,0.0,0.0
trained_with_pheromone__eval_with_pheromone,3,20,1.05,3.0344513073770196,1.3299069219507924,0.95,2.9285347512832565,1.2834869445546009,0.22999999999999998,0.4168806468093842,0.18270599909489332,0.2,0.8944271909999157,0.3919999999999999,0.75,2.0742785683093214,0.9090926650700744,0.23461538461538461,0.4216760022666383,0.1848076562875175,0.95,2.9285347512832565,1.2834869445546009,66.65,173.2088107033333,75.9121083067711,151.45,302.41840569856714,132.54071010666476,84.05,215.87386058578406,94.61089085968463,0.10313765182186237,0.04442398120713045,0.019469668194822102,0.019080929665263587,0.04872168151212091,0.02135321840048263
trained_with_pheromone__eval_without_pheromone,3,20,1.05,3.153527682152998,1.382094444179405,0.75,2.8996370008747827,1.2708219470298077,0.14642857142857144,0.35787518901566334,0.1568457170195234,0.2,0.6958523739384593,0.3049707492444756,0.55,2.2354794611117836,0.979742071320707,0.08846153846153845,0.27484034605679103,0.12045409256154001,0.75,2.8996370008747827,1.2708219470298077,66.65,173.2088107033333,75.9121083067711,72.1,223.42051453657848,97.91835778206679,23.55,71.13994732401169,31.178456593919893,0.101417004048583,0.0414226785913567,0.018154289327518166,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0054655870445344135,0.001687264683130548,0.0007394763513928514,0.0,0.0,0.0
trained_with_pheromone__eval_with_pheromone,6,50,1.5,3.506553631038165,0.9719670776317477,1.32,3.2853415937699846,0.9106502292318385,0.23800000000000002,0.4190075738441676,0.11614297395882371,0.42,1.1082252773268269,0.3071843746026155,0.9,2.533449692995457,0.7022364274231294,0.13388888888888886,0.3065429315920449,0.08496936557618723,1.32,3.2853415937699846,0.9106502292318385,44.68,125.57613188006383,34.80792788776718,80.24,169.2913874878194,46.92517853093368,35.48,77.42072706705767,21.459930676495667,0.1723684210526316,0.049483198763855256,0.013716042917083743,0.018984081737451763,0.036241285696358365,0.0100455718789271
trained_with_pheromone__eval_without_pheromone,6,50,1.18,2.7232183840718576,0.7548376249234003,0.96,2.5149349811046156,0.6971044111178755,0.22099999999999997,0.3979654892226773,0.11031040567417019,0.54,1.5806224555341404,0.43812619186713775,0.42,1.4440589054636863,0.40027270703858886,0.09216450216450216,0.2726361373580971,0.07557088171678765,0.96,2.5149349811046156,0.6971044111178755,44.68,125.57613188006383,34.80792788776718,92.9,232.19443383087548,64.3610134165086,48.14,164.02165237851855,45.464482482043046,0.16935222672064779,0.04695862997511315,0.013016268150727895,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,6,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.011417004048582995,0.0025543357636753712,0.0007080257508494919,0.0,0.0,0.0
trained_with_pheromone__eval_with_pheromone,10,20,2.4,4.706099066217437,2.0625388544984524,2.25,4.529145382380305,1.9849854831764013,0.21583333333333332,0.3952745363216905,0.17323670366604188,0.75,2.4468024246479643,1.0723584436087343,1.5,3.332456024900364,1.4605132479263652,0.1875,0.37451235349982326,0.16413727584445106,2.25,4.529145382380305,1.9849854831764013,74.55,182.6358110384823,80.04367336713915,107.05,223.36599067332006,97.89446164539702,31.75,88.6322235568508,38.84478466653501,0.23157894736842102,0.04041064828506396,0.01771074748972671,0.01588738932105286,0.035562420601562006,0.015585918022268195
