stage,stage_index,stage_attempt,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,delivery_conversion,swarm_efficiency
stage1a_single_agent_miniscule,1,1,2641,29,1,50,50,1,0,190.0786590576172,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,47,43,43,0,1.0,0.0851063829787234
stage1a_single_agent_miniscule,1,1,2742,30,1,50,50,1,0,188.24017333984375,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,101,72,72,0,1.0,0.039603960396039604
stage1a_single_agent_miniscule,1,1,2862,31,1,50,50,1,0,92.85414123535156,2.0,2.0,2.0,0.4444444444444444,0.0,0,0,2,120,119,119,0,1.0,0.016666666666666666
stage1a_single_agent_miniscule,1,1,2982,32,1,50,50,1,0,-4.255325794219971,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,3018,33,1,50,50,1,0,190.16799926757812,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,36,33,33,0,1.0,0.1111111111111111
stage1a_single_agent_miniscule,1,1,3138,34,1,50,50,1,0,-4.720149040222168,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,3258,35,1,50,50,1,0,188.64666748046875,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,120,117,117,0,1.0,0.03333333333333333
stage1a_single_agent_miniscule,1,1,3287,36,1,50,50,1,0,191.25289916992188,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,29,24,24,0,1.0,0.13793103448275862
stage1a_single_agent_miniscule,1,1,3407,37,1,50,50,1,0,93.54780578613281,2.0,2.0,2.0,0.4444444444444444,0.0,0,0,2,120,51,51,0,1.0,0.016666666666666666
stage1a_single_agent_miniscule,1,1,3497,38,1,50,50,1,0,189.64849853515625,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,90,86,86,0,1.0,0.044444444444444446
stage1a_single_agent_miniscule,1,1,3563,39,1,50,50,1,0,190.1068115234375,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,66,63,63,0,1.0,0.06060606060606061
stage1a_single_agent_miniscule,1,1,3683,40,1,50,50,1,0,-2.9166228771209717,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,3707,41,1,50,50,1,0,191.05722045898438,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,24,21,21,0,1.0,0.16666666666666666
stage1a_single_agent_miniscule,1,1,3711,42,1,50,50,1,0,191.71200561523438,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,1.0
stage1a_single_agent_miniscule,1,1,3787,43,1,50,50,1,0,189.89352416992188,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,76,73,73,0,1.0,0.05263157894736842
stage1a_single_agent_miniscule,1,1,3907,44,1,50,50,1,0,-1.6487723588943481,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,3930,45,1,50,50,1,0,191.02410888671875,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,23,1,1,0,1.0,0.17391304347826086
stage1a_single_agent_miniscule,1,1,3955,46,1,50,50,1,0,191.30999755859375,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,25,22,22,0,1.0,0.16
stage1a_single_agent_miniscule,1,1,4075,47,1,50,50,1,0,-2.264315605163574,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,4140,48,1,50,50,1,0,189.18765258789062,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,65,62,62,0,1.0,0.06153846153846154
stage1a_single_agent_miniscule,1,1,4181,49,1,50,50,1,0,190.43814086914062,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,41,38,38,0,1.0,0.0975609756097561
stage1a_single_agent_miniscule,1,1,4301,50,1,50,50,1,0,-3.6447815895080566,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,4372,51,1,50,50,1,0,189.03182983398438,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,71,68,68,0,1.0,0.056338028169014086
stage1a_single_agent_miniscule,1,1,4376,52,1,50,50,1,0,191.96200561523438,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,1.0
