episode,global_step,epsilon,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,food_delivered,exploration_coverage,coverage_reward_total,pheromone_usage,pheromone_deposit_events,episode_length,collisions,reward_step_component,reward_pickup_component,reward_delivery_component,reward_collision_component,reward_exploration_component,reward_new_cell_component,reward_food_approach_component,reward_food_detected_component,reward_pheromone_follow_component,reward_pheromone_usage_component,reward_pheromone_deposit_component,reward_pheromone_component,swarm_efficiency
1,600,0.9715475,-71.02574920654297,2,2,0,0,0.12955465587044535,2.4400000000000017,0.609927657658522,1789,600,2448,-360.0000000000022,16.0,0.0,-489.60000000000076,2.4400000000000017,2.4400000000000017,0.649352205912272,0.2,0.7882847770303487,439.1479135141361,-35.779999999999795,404.1561982911667,0.0
2,1200,0.9430475,-59.16020584106445,0,0,0,0,0.12753036437246965,2.4000000000000017,0.5359334015702512,1778,600,1754,-360.0000000000022,0.0,0.0,-350.80000000000047,2.4000000000000017,2.4000000000000017,1.5732355321248368,0.39999999999999997,1.1535421788319942,385.87204913058065,-35.55999999999972,351.4655913094129,0.0
3,1800,0.9145475,-84.8102798461914,0,0,0,0,0.0860323886639676,1.580000000000001,0.6779839039381477,1745,600,3021,-360.0000000000022,0.0,0.0,-604.1999999999998,1.580000000000001,1.580000000000001,0.24505216598510743,0.05,0.21493680965155365,488.1484108354662,-34.899999999999736,453.463347645118,0.0
4,2400,0.8860475,-73.23622131347656,0,0,0,0,0.14068825910931174,2.660000000000002,0.586238398142741,1779,600,2351,-360.0000000000022,0.0,0.0,-470.199999999997,2.660000000000002,2.660000000000002,0.5226089426676435,0.35,0.7383702808991075,422.09164666277326,-35.579999999999764,387.2500169436726,0.0
5,3000,0.8575475,-74.21147918701172,0,0,0,0,0.09615384615384616,1.7800000000000011,0.5832027833319362,1625,600,2375,-360.0000000000022,0.0,0.0,-475.0000000000006,1.7800000000000011,1.7800000000000011,0.109868891398112,0.15000000000000002,0.2851602242141962,419.90600399899427,-32.49999999999972,387.6911642232088,0.0
6,3600,0.8290475,-83.8215103149414,0,0,0,0,0.08805668016194332,1.620000000000001,0.6478366144500939,1527,600,2907,-360.0000000000022,0.0,0.0,-581.3999999999997,1.620000000000001,1.620000000000001,0.32483822123209644,0.15000000000000002,0.47364108254201714,466.4423624040681,-30.539999999999722,436.3760034866104,0.0
7,4200,0.8005475,-64.39717102050781,1,1,0,0,0.1396761133603239,2.640000000000002,0.5368035737201555,1586,600,1964,-360.0000000000022,8.0,0.0,-392.8000000000013,2.640000000000002,2.640000000000002,0.2383436317443847,0.1,0.6602033079788088,386.49857307851164,-31.719999999999697,355.43877638649076,0.0
8,4800,0.7720475,-66.24076080322266,0,0,0,0,0.14676113360323886,2.780000000000002,0.5190311245234707,1607,600,1919,-360.0000000000022,0.0,0.0,-383.79999999999995,2.780000000000002,2.780000000000002,0.9948297627766933,0.3,0.7182588063273578,373.7024096568989,-32.13999999999969,342.28066846322656,0.0
9,5400,0.7435475,-55.9387321472168,0,0,0,0,0.1396761133603239,2.640000000000002,0.5139746495130546,1640,600,1591,-360.0000000000022,0.0,0.0,-318.2000000000011,2.640000000000002,2.640000000000002,1.0103771387736002,0.65,1.005427710721269,370.06174764939936,-32.79999999999969,338.267175360121,0.0
10,6000,0.7150475000000001,-67.0374526977539,0,0,0,0,0.11842105263157894,2.2200000000000015,0.5360007519489267,1486,600,2009,-360.0000000000022,0.0,0.0,-401.80000000000354,2.2200000000000015,2.2200000000000015,0.204110361735026,0.1,0.8507100671902299,385.9205414032271,-29.719999999999697,357.05125147041764,0.0
11,6600,0.6865475,-62.306453704833984,0,0,0,0,0.13360323886639677,2.520000000000002,0.4855188617321094,1518,600,1686,-360.0000000000022,0.0,0.0,-337.2000000000011,2.520000000000002,2.520000000000002,0.7949235916137697,0.05,0.7829087003320454,349.57358044711856,-30.359999999999697,319.9964891474509,0.0
12,7200,0.6580475,-44.976287841796875,0,0,0,0,0.15587044534412955,2.960000000000002,0.410847341139969,1585,600,896,-360.0000000000022,0.0,0.0,-179.2000000000014,2.960000000000002,2.960000000000002,0.7369635365804037,0.49999999999999994,1.03526293437928,295.81008562077767,-31.699999999999683,265.1453485551572,0.0
13,7800,0.6295474999999999,-27.176485061645508,0,0,0,0,0.20850202429149797,4.000000000000003,0.36957727830466564,1524,600,228,-360.0000000000022,0.0,0.0,-45.6000000000001,4.000000000000003,4.000000000000003,0.7359464009602859,0.25,1.9395429228572172,266.09564037935934,-30.479999999999695,237.55518330221688,0.0
14,8400,0.6010475,-42.68962097167969,2,2,0,0,0.14676113360323886,2.780000000000002,0.4432265540793822,1448,600,1037,-360.0000000000022,16.0,0.0,-207.40000000000188,2.780000000000002,2.780000000000002,0.41476407496134443,0.15000000000000002,1.7544084780570126,319.1231189371551,-28.95999999999971,291.9175274152124,0.0
15,9000,0.5725475,-32.202213287353516,1,1,0,0,0.17813765182186234,3.4000000000000026,0.39730063924782577,1529,600,513,-360.0000000000022,8.0,0.0,-102.60000000000092,3.4000000000000026,3.4000000000000026,1.1729620068868003,0.1,1.2373315526079385,286.0564602584345,-30.579999999999714,256.71379181104277,0.0
16,9600,0.5440475,-26.785598754882812,0,0,0,0,0.13663967611336034,2.580000000000002,0.429887271781562,1472,600,425,-360.0000000000022,0.0,0.0,-85.00000000000014,2.580000000000002,2.580000000000002,0.27269424947102844,0.1,1.2549344294518237,309.51883568272456,-29.439999999999703,281.3337701121767,0.0
17,10200,0.5155475,-19.713031768798828,1,1,0,0,0.19129554655870445,3.660000000000003,0.3773873225420215,1611,600,63,-360.0000000000022,8.0,0.0,-12.599999999999987,3.660000000000003,3.660000000000003,1.317857251485188,0.15000000000000002,1.6951097582560035,271.7188722302555,-32.21999999999971,241.1939819885118,0.0
18,10800,0.48704749999999997,-22.246437072753906,1,1,0,0,0.1771255060728745,3.3800000000000026,0.3870658211944586,1629,600,167,-360.0000000000022,8.0,0.0,-33.399999999999935,3.3800000000000026,3.3800000000000026,0.9022699750264489,0.2,1.3317348287254576,278.6873912600104,-32.579999999999686,247.43912608873615,0.0
19,11400,0.4585475000000001,-48.64824295043945,2,2,0,0,0.15890688259109312,3.0200000000000022,0.4485176960422702,1319,600,1247,-360.0000000000022,16.0,0.0,-249.4000000000009,3.0200000000000022,3.0200000000000022,0.9334296658833817,0.1,0.9043754472769798,322.9327411504344,-26.37999999999974,297.45711659771166,0.0
20,12000,0.4300475,-26.595909118652344,2,2,0,0,0.24898785425101214,4.79999999999999,0.3279896720581908,1431,600,159,-360.0000000000022,16.0,0.0,-31.79999999999992,4.79999999999999,4.79999999999999,1.3504033813476561,0.44999999999999996,2.0916207362338888,236.15256388189735,-28.619999999999738,209.6241846181315,0.0
21,12600,0.40154750000000006,-33.2523307800293,1,1,0,0,0.19129554655870445,3.680000000000003,0.3833160559950759,1519,600,507,-360.0000000000022,8.0,0.0,-101.4000000000009,3.680000000000003,3.680000000000003,2.263938924153646,0.8000000000000002,1.5345705576427282,275.9875603164547,-30.379999999999715,247.1421308740977,0.0
22,13200,0.3730475,-28.356613159179688,2,2,0,0,0.21761133603238866,4.179999999999999,0.3785497581019607,1442,600,393,-360.0000000000022,16.0,0.0,-78.60000000000021,4.179999999999999,4.179999999999999,1.6463722610473637,0.7000000000000001,2.218165975213051,272.55582583341175,-28.839999999999723,245.93399180862505,0.0
23,13800,0.3445475000000001,-22.841596603393555,3,3,0,0,0.3026315789473684,5.859999999999974,0.2973703452041728,1312,600,1,-360.0000000000022,24.0,0.0,-0.2,5.859999999999974,5.859999999999974,2.2047883046468106,0.7500000000000001,2.468995702732354,214.1066485470045,-26.239999999999753,190.3356442497371,0.0
24,14400,0.31604750000000004,-39.49820327758789,1,1,0,0,0.19534412955465588,3.740000000000003,0.33807197352823604,1231,600,557,-360.0000000000022,8.0,0.0,-111.400000000001,3.740000000000003,3.740000000000003,1.3231138865153003,0.5499999999999999,2.0058919814787814,243.41182094032985,-24.619999999999752,220.79771292180888,0.0
25,15000,0.28754750000000007,-47.227291107177734,1,1,0,0,0.16497975708502025,3.1400000000000023,0.3765045532955749,1199,600,927,-360.0000000000022,8.0,0.0,-185.4000000000011,3.1400000000000023,3.1400000000000023,1.988546283721924,0.5499999999999999,1.254425637871027,271.0832783728138,-23.97999999999978,248.35770401068504,0.0
